date,cryptotype,close_percentage,open_percentage
2021-12-08,Dash,-40.70820328093994,-40.73422977537709
2021-12-07,Dash,-41.615731781837134,-42.67126774255203
2021-12-06,Dash,-43.248453481857105,-45.24003651001721
2021-12-05,Dash,-45.73068215658886,-41.67137256394009
2021-12-04,Dash,-42.01355483327067,-26.300592757927326
2021-12-03,Dash,-36.48965387774209,-25.68978154890773
2021-12-02,Dash,-26.415679040168662,-26.890490759439256
2021-12-01,Dash,-27.625721256820174,-24.59784527571536
2021-11-30,Dash,-25.408699518800248,-24.384474382023015
2021-11-29,Dash,-25.230512225000723,-25.246314302527296
2021-11-28,Dash,-25.756790736815287,-26.852839325409896
2021-11-27,Dash,-27.60085217851948,-22.76121751638169
2021-11-26,Dash,-23.39473415288054,-14.251642318781887
2021-11-25,Dash,-15.144106009868386,-13.481849876621013
2021-11-24,Dash,-14.3567559229511,-18.719797619392647
2021-11-23,Dash,-19.864077492945878,-17.21367642058835
2021-11-22,Dash,-17.812817994349462,-20.338873120285033
2021-11-21,Dash,-20.510534418740345,-21.10448419769697
2021-11-20,Dash,-21.919484999517184,-18.68632755011222
2021-11-19,Dash,-19.768768157266663,-23.229785718781706
2021-11-18,Dash,-24.161369492654917,-23.033153051611063
2021-11-17,Dash,-23.295276809226433,-20.539693535967587
2021-11-16,Dash,-22.047946783081102,-12.66185552242099
2021-11-15,Dash,-13.3704911487256,-3.0687131648896613
2021-11-14,Dash,-4.083872721252338,-4.926260515493968
2021-11-13,Dash,-5.737315491598107,-7.729313384159152
2021-11-12,Dash,-8.49719512696639,-3.5456504805505253
2021-11-11,Dash,-4.125314861903939,-8.645536581451516
2021-11-10,Dash,-9.727952090760818,-3.934734450142875
2021-11-09,Dash,-5.103289943362539,-7.674930107371063
2021-11-08,Dash,-8.671240735973909,-17.217864169100263
2021-11-07,Dash,-17.96614253303118,-20.07948806306545
2021-11-06,Dash,-20.800616756935767,-17.841225856129643
2021-11-05,Dash,-18.616747466800543,-17.272247445888354
2021-11-04,Dash,-18.06145819189328,-16.171948443198104
2021-11-03,Dash,-17.075193417667784,-15.619701875715538
2021-11-02,Dash,-16.416305114314415,-20.175710522394816
2021-11-01,Dash,-21.061682008855602,-22.518564301920836
2021-10-31,Dash,-23.050784619657506,-21.711114041967626
2021-10-30,Dash,-22.338022798093633,-21.798973771799115
2021-10-29,Dash,-22.545220854985853,-22.150399923599124
2021-10-28,Dash,-23.19996747354722,-25.890595580827313
2021-10-27,Dash,-27.037273210845324,-16.841330677517703
2021-10-26,Dash,-17.09176648001869,-14.11358706067422
2021-10-25,Dash,-15.235273660755594,-14.10521794741337
2021-10-24,Dash,-15.019785911096475,-14.770418816984026
2021-10-23,Dash,-14.311172097507496,-18.0420462718122
2021-10-22,Dash,-18.72448818003866,-16.406232544398115
2021-10-21,Dash,-16.437026184640214,-15.523479416386174
2021-10-20,Dash,-16.41215710633952,-20.284489843496946
2021-10-19,Dash,-20.92907854049968,-20.121327245606725
2021-10-18,Dash,-21.074113386414503,-21.14213563172633
2021-10-17,Dash,-22.271717902324227,-19.82846573534374
2021-10-16,Dash,-20.61828145516135,-19.313876985653515
2021-10-15,Dash,-19.872367185712775,-21.338768298896976
2021-10-14,Dash,-21.86146979651468,-22.47672511937956
2021-10-13,Dash,-23.340860634670037,-24.2966210359545
2021-10-12,Dash,-25.12276518857972,-26.413553443778394
2021-10-11,Dash,-26.937822190374106,-22.03325787299912
2021-10-10,Dash,-22.868449317883087,-20.55224401397738
2021-10-09,Dash,-21.521661948083647,-20.401631894096948
2021-10-08,Dash,-21.169429045276605,-20.363974076304608
2021-10-07,Dash,-21.56724577352725,-24.50161643262302
2021-10-06,Dash,-24.940429886805305,-24.22549953264471
2021-10-05,Dash,-24.96529264192311,-27.049471992580536
