date,cryptotype,close_percentage,open_percentage
2021-12-08,Doge,-49.510807659971064,-49.99943802589546
2021-12-07,Doge,-49.674322861945775,-49.76692799682376
2021-12-06,Doge,-49.5443059625047,-52.17421969358163
2021-12-05,Doge,-51.725625406589195,-49.787195864850794
2021-12-04,Doge,-50.225329540999496,-42.26468772302474
2021-12-03,Doge,-47.4654653512501,-41.667087620883336
2021-12-02,Doge,-40.86557640198695,-42.560815871791384
2021-12-01,Doge,-41.79953564176426,-39.12749691223792
2021-11-30,Doge,-39.01298363907325,-37.685147842084085
2021-11-29,Doge,-36.03055603355106,-42.21880398785345
2021-11-28,Doge,-41.69904073416335,-43.904359085313445
2021-11-27,Doge,-43.52409543046587,-41.436830043204544
2021-11-26,Doge,-40.64358405211163,-38.6605054348121
2021-11-25,Doge,-38.32685007832556,-38.914692686972316
2021-11-24,Doge,-38.40435006578847,-37.13286941089302
2021-11-23,Doge,-36.556300449347944,-37.28402693574612
2021-11-22,Doge,-36.72492563357554,-37.796335889613175
2021-11-21,Doge,-36.8685677423184,-35.86306986206121
2021-11-20,Doge,-35.22945210223112,-34.37174570352086
2021-11-19,Doge,-33.92758683059904,-37.72089764324186
2021-11-18,Doge,-37.36251436292078,-33.855493911088935
2021-11-17,Doge,-32.89398716700814,-34.12178232203598
2021-11-16,Doge,-34.0368803831387,-30.158138991981335
2021-11-15,Doge,-29.50816707175081,-25.81617191261002
2021-11-14,Doge,-25.15261786094595,-26.47880368401697
2021-11-13,Doge,-25.76835380194811,-28.01770196490057
2021-11-12,Doge,-27.3021522001892,-25.779302177519455
2021-11-11,Doge,-24.9036585103569,-26.037423879226303
2021-11-10,Doge,-25.62925060956067,-23.766097195319478
2021-11-09,Doge,-23.13367571715899,-19.937844230367592
2021-11-08,Doge,-19.48442080834127,-23.58368638307619
2021-11-07,Doge,-22.64057935022618,-26.42700988550749
2021-11-06,Doge,-25.645722688114276,-25.826591073243122
2021-11-05,Doge,-25.437067899533123,-26.334118286723008
2021-11-04,Doge,-25.89865834939679,-24.137940428058794
2021-11-03,Doge,-23.627626567879123,-23.5620175490059
2021-11-02,Doge,-23.210613098959946,-23.903458979704666
2021-11-01,Doge,-23.229064872624768,-25.187607944207112
2021-10-31,Doge,-23.945003843102466,-24.65053460854544
2021-10-30,Doge,-23.74827798660174,-19.744460582288475
2021-10-29,Doge,-19.09579142958508,-17.31634314779174
2021-10-28,Doge,-16.75890517479508,-33.62861291324495
2021-10-27,Doge,-33.382823805357624,-27.098634684449618
2021-10-26,Doge,-26.53482575917499,-25.500342154546402
2021-10-25,Doge,-25.022034125725167,-24.495144823998785
2021-10-24,Doge,-23.302017483496734,-29.52900876484837
2021-10-23,Doge,-28.845595266920842,-30.69381136159975
2021-10-22,Doge,-30.037316732343704,-30.958975644104896
2021-10-21,Doge,-30.352989270110164,-28.821353132637988
2021-10-20,Doge,-28.29600990743415,-31.662134762547687
2021-10-19,Doge,-30.915637233236694,-28.3160741760419
2021-10-18,Doge,-28.34852258929456,-33.00905875041366
2021-10-17,Doge,-32.44432141910713,-33.300396769774906
2021-10-16,Doge,-32.6654635153129,-33.34374702144282
2021-10-15,Doge,-32.85765045545821,-34.29264565069516
2021-10-14,Doge,-33.70076791636068,-33.4873082902949
2021-10-13,Doge,-32.92265890517874,-35.461105859391814
2021-10-12,Doge,-34.96146991207979,-37.03265839370887
2021-10-11,Doge,-36.42997644271049,-33.6097544002794
2021-10-10,Doge,-33.0978111611085,-31.2807154655067
2021-10-09,Doge,-30.69733354604723,-31.16417941886037
2021-10-08,Doge,-30.22552736179554,-31.43272028120032
2021-10-07,Doge,-31.15153821030366,-32.47113392940234
2021-10-06,Doge,-31.447058467066174,-29.27595403014828
2021-10-05,Doge,-28.925079179612727,-32.32306775776446
2021-10-04,Doge,-31.33066677692689,-38.18253692704134
2021-10-03,Doge,-38.51648202734443,-38.36015760987924
2021-10-02,Doge,-38.12387633789477,-38.96085325974497
2021-10-01,Doge,-38.384193554666766,-43.131390751727054
2021-09-30,Doge,-42.68920977872244,-42.73815132800969
2021-09-29,Doge,-42.33066922758613,-43.85087909414113
2021-09-28,Doge,-43.48548714567934,-43.27776653619297
