date,sum_total_cases_global,sum_new_cases_global,sum_total_death_global,sum_new_deaths_global
2020-01-22,453,453,17,17
2020-01-23,456,20,17,1
2020-01-24,570,114,24,7
2020-01-25,789,219,40,16
2020-01-26,1099,310,52,12
2020-01-27,1471,372,76,24
2020-01-28,3620,2149,125,49
2020-01-29,3630,134,125,1
2020-01-30,4990,1362,162,37
2020-01-31,5922,933,204,42
2020-02-01,7288,1367,249,45
2020-02-02,11322,4035,351,102
2020-02-03,13681,2359,415,64
2020-02-04,16856,3176,480,65
2020-02-05,19854,2998,550,70
2020-02-06,22315,2462,619,69
2020-02-07,25225,2910,700,81
2020-02-08,27399,2174,781,81
2020-02-09,29946,2547,872,91
2020-02-10,32126,2180,975,103
2020-02-11,33774,1648,1069,94
2020-02-12,33819,87,1069,1
2020-02-13,48675,14856,1312,243
2020-02-14,54940,6265,1459,147
2020-02-15,56871,1931,1599,140
2020-02-16,58887,2016,1700,101
2020-02-17,60807,1920,1793,93
2020-02-18,62605,1798,1926,133
2020-02-19,63046,441,2036,110
2020-02-20,63559,513,2154,118
2020-02-21,63934,375,2158,4
2020-02-22,65666,1732,2362,204
2020-02-23,66025,364,2371,10
2020-02-24,66576,551,2530,159
2020-02-25,67415,839,2608,78
2020-02-26,68381,966,2669,61
2020-02-27,69713,1332,2709,40
2020-02-28,71091,1378,2765,56
2020-02-29,72968,1877,2833,68
2020-03-01,75334,2368,2886,53
2020-03-02,77299,1967,2975,89
2020-03-03,79881,2585,3048,73
2020-03-04,82161,2280,3142,95
2020-03-05,84956,2797,3234,92
2020-03-06,88832,3876,3347,113
2020-03-07,92911,4079,3451,104
2020-03-08,96824,3913,3690,239
2020-03-09,100986,4162,3878,188
2020-03-10,105787,4801,4154,276
2020-03-11,113386,7627,4499,345
2020-03-12,119174,5788,4807,308
2020-03-13,133392,14218,5297,490
2020-03-14,144413,11029,5718,421
2020-03-15,155589,11177,6368,650
2020-03-16,170148,14565,7050,687
2020-03-17,186007,15865,7864,814
2020-03-18,205257,19268,8779,915
2020-03-19,232068,26848,9894,1117
2020-03-20,262605,30587,11385,1492
2020-03-21,294111,31554,13105,1721
2020-03-22,328634,34568,14784,1681
2020-03-23,370840,42305,16738,1954
2020-03-24,411229,40433,19047,2309
2020-03-25,461920,50715,21868,2821
2020-03-26,523810,61933,24896,3034
2020-03-27,588107,64363,28375,3479
2020-03-28,656825,68760,32207,3832
2020-03-29,713020,56275,35676,3470
2020-03-30,777412,64433,39740,4065
2020-03-31,853444,76160,44454,4715
2020-04-01,935406,82012,50455,6001
2020-04-02,1017156,81787,56317,5863
2020-04-03,1100583,83470,62474,6157
2020-04-04,1158741,75292,68410,6169
2020-04-05,1228712,69999,73622,5212
2020-04-06,1302211,73523,79515,5894
2020-04-07,1370873,72241,87817,8302
2020-04-08,1453410,82562,94628,6813
2020-04-09,1539916,86546,102439,7812
2020-04-10,1624456,84569,109822,7383
2020-04-11,1698112,73683,116054,6263
2020-04-12,1817035,119005,121971,5917
2020-04-13,1887203,70231,127954,5983
2020-04-14,1970200,83090,135009,7058
2020-04-15,2047699,77521,143490,8482
2020-04-16,2141354,93675,150796,7306
2020-04-17,2228366,87012,159254,8458
2020-04-18,2304689,76351,165407,6154
2020-04-19,2380590,75908,170720,5313
2020-04-20,2455344,74761,176718,5998
2020-04-21,2530254,74932,184036,7318
2020-04-22,2610612,80368,190974,6938
2020-04-23,2693300,84427,197912,6938
2020-04-24,2776312,93053,204752,6841
2020-04-25,2858411,82104,210571,5820
2020-04-26,2928990,70581,214773,4203
2020-04-27,2998471,69485,219630,4857
2020-04-28,3073407,74956,226403,6773
2020-04-29,3149500,77563,233254,6851
2020-04-30,3232108,82613,239247,5993
2020-05-01,3319905,87801,244652,5411
2020-05-02,3398964,79234,250462,5810
2020-05-03,3473353,74416,254265,3804
2020-05-04,3549772,76436,258683,4418
2020-05-05,3629327,79567,264738,6055
2020-05-06,3719128,89814,271558,6820
2020-05-07,3807282,89751,277199,5641
2020-05-08,3897291,91490,283064,5865
2020-05-09,3980867,83603,287583,4519
2020-05-10,4056057,75201,291598,4015
2020-05-11,4131954,75970,295474,3876
2020-05-12,4215902,83974,301285,5817
2020-05-13,4300338,84442,306732,5447
2020-05-14,4395680,95358,312275,5543
2020-05-15,4491295,95628,317873,5598
2020-05-16,4584955,93670,322381,4509
2020-05-17,4662943,77997,325931,3550
2020-05-18,4751219,88287,330057,4127
2020-05-19,4847477,96467,335166,5326
2020-05-20,4948955,101485,340305,5139
2020-05-21,5055149,106308,345355,5050
2020-05-22,5160833,105694,350984,5629
2020-05-23,5264735,103912,355248,4265
2020-05-24,5359039,94939,358706,3541
2020-05-25,5445112,86453,360284,3498
2020-05-26,5537477,92377,364896,4613
2020-05-27,5640598,103131,370280,5384
2020-05-28,5758615,118022,375258,4978
2020-05-29,5879226,120635,380384,5126
2020-05-30,6015687,136465,384742,4358
2020-05-31,6121979,106304,387884,3142
2020-06-01,6216901,94995,391387,3507
2020-06-02,6338083,121968,396566,5179
2020-06-03,6451836,117027,402390,5824
2020-06-04,6582202,130372,407776,5386
2020-06-05,6712774,130579,412818,5042
2020-06-06,6846290,133524,416995,4177
2020-06-07,6958559,112272,420159,3164
2020-06-08,7059253,100696,424298,4139
2020-06-09,7183399,124149,429478,5180
2020-06-10,7318221,134836,434943,5465
2020-06-11,7455126,136916,439989,5048
2020-06-12,7583909,128789,444785,4796
2020-06-13,7718418,134553,449216,4432
2020-06-14,7850744,132371,452852,3636
2020-06-15,7968694,118002,456700,3848
2020-06-16,8109917,141274,463778,7078
2020-06-17,8254182,144302,469340,5562
2020-06-18,8394283,140132,474654,5314
2020-06-19,8573954,179819,481024,6370
2020-06-20,8730974,157103,485504,4481
2020-06-21,8859295,128553,490115,4611
2020-06-22,8997106,137860,493820,3705
2020-06-23,9163655,166579,499365,5547
2020-06-24,9335973,172595,504907,5573
2020-06-25,9513863,178134,509941,5035
2020-06-26,9705152,191306,515012,5071
2020-06-27,9883365,178305,519778,4767
2020-06-28,10047976,165094,523303,3526
2020-06-29,10200709,152829,527289,3986
2020-06-30,10376493,175911,532483,5194
2020-07-01,10593240,216839,537802,5319
2020-07-02,10802409,209243,543263,5461
2020-07-03,11004801,202398,548575,5312
2020-07-04,11201120,196839,553369,4796
2020-07-05,11384524,183540,557211,3847
2020-07-06,11547406,163059,561350,4140
2020-07-07,11756695,209414,567676,6326
2020-07-08,11969775,213247,573350,5678
2020-07-09,12194044,224596,579141,5791
2020-07-10,12426233,232259,584793,5654
2020-07-11,12643600,217678,590032,5243
2020-07-12,12837951,194405,594330,4298
2020-07-13,13027132,189181,598602,4272
2020-07-14,13247484,220511,604585,5991
2020-07-15,13478089,230629,610429,5849
2020-07-16,13729406,251387,616604,6178
2020-07-17,13971684,242336,623631,7030
2020-07-18,14208606,237081,630199,6578
2020-07-19,14422778,214243,635096,4898
2020-07-20,14627255,204585,638873,3780
2020-07-21,14861255,234183,645272,6419
2020-07-22,15140637,279557,652623,7357
2020-07-23,15422485,281967,659255,6633
2020-07-24,15703464,281102,665698,6444
2020-07-25,15959101,255852,671879,6183
2020-07-26,16173063,214115,676205,4326
2020-07-27,16397891,224977,681394,5211
2020-07-28,16647355,249570,687998,6605
2020-07-29,16934902,287665,695036,7039
2020-07-30,17214439,279686,701705,6674
2020-07-31,17504511,290193,708227,6524
2020-08-01,17755576,251244,714372,6151
2020-08-02,17986634,231176,719043,4679
2020-08-03,18192495,205940,723790,4750
2020-08-04,18445847,253432,730749,6966
2020-08-05,18723351,277589,738199,7451
2020-08-06,19005788,282532,745024,6828
2020-08-07,19288873,283173,751754,6735
2020-08-08,19548109,259372,757840,6087
2020-08-09,19774763,226742,763008,5173
2020-08-10,19997354,222660,768278,5273
2020-08-11,20259117,261797,774966,6708
2020-08-12,20531852,272797,781912,6952
2020-08-13,20820530,288763,788715,6806
2020-08-14,21123189,302707,795343,6630
2020-08-15,21373257,250114,801341,6000
2020-08-16,21588286,215145,806157,4816
2020-08-17,21794404,206162,810660,4503
2020-08-18,22049486,255118,817700,7042
2020-08-19,22325410,275950,824749,7051
2020-08-20,22598204,272812,831159,6413
2020-08-21,22858161,259984,836894,6178
2020-08-22,23123362,265227,842765,5873
2020-08-23,23329352,206015,847112,4347
2020-08-24,23551941,222698,851784,4672
2020-08-25,23795808,243886,858420,6638
2020-08-26,24077221,281569,864985,6683
2020-08-27,24361382,284182,871198,6215
2020-08-28,24643780,283759,877024,5829
2020-08-29,24908669,264907,882702,5681
2020-08-30,25129870,221216,887129,4428
2020-08-31,25388679,258818,891449,4321
2020-09-01,25653953,265286,898101,6661
2020-09-02,25936243,282310,904359,6264
2020-09-03,26217030,280800,910423,6066
2020-09-04,26530565,313547,916328,5929
2020-09-05,26800527,269969,921541,5213
2020-09-06,27030540,230034,925649,4110
2020-09-07,27248282,225706,935243,9597
2020-09-08,27487052,238776,940351,5109
2020-09-09,27770918,283872,946523,6172
2020-09-10,28069757,298851,952537,6045
2020-09-11,28390604,320859,958560,6023
2020-09-12,28676543,285952,963656,5097
2020-09-13,28919074,242550,967617,3961
2020-09-14,29180115,261055,972121,4505
2020-09-15,29464625,284514,978724,6604
2020-09-16,29767666,303050,984620,5896
2020-09-17,30081548,313895,990223,5603
2020-09-18,30406438,324896,996103,5881
2020-09-19,30698813,292388,1001473,5370
2020-09-20,30950642,251852,1005452,3979
2020-09-21,31223673,273037,1009764,4312
2020-09-22,31507289,283624,1015964,6200
2020-09-23,31781318,274032,1021556,5593
2020-09-24,32134204,352893,1028141,6585
2020-09-25,32464036,329841,1034054,5914
2020-09-26,32752488,288456,1039634,5580
2020-09-27,33003621,251235,1043475,3841
2020-09-28,33256434,252823,1047469,3994
2020-09-29,33538014,281588,1053563,6094
2020-09-30,33860901,322895,1060042,6480
2020-10-01,34178632,317741,1068890,8848
2020-10-02,34475323,296698,1073823,4938
2020-10-03,34809155,333838,1079265,5442
2020-10-04,35068330,259185,1083257,3992
2020-10-05,35365446,297127,1090234,6978
2020-10-06,35689365,323927,1096067,5833
2020-10-07,36039555,350203,1101966,5902
2020-10-08,36399730,360193,1108315,6352
2020-10-09,36758385,358663,1114517,6202
2020-10-10,37114976,356601,1119429,4912
2020-10-11,37402169,287200,1123558,4130
2020-10-12,37692848,290690,1127624,4066
2020-10-13,38006816,313987,1132934,5310
2020-10-14,38386720,379915,1139131,6197
2020-10-15,38792606,405901,1145210,6079
2020-10-16,39202240,409648,1151522,6312
2020-10-17,39576709,374496,1157256,5734
2020-10-18,39892006,315306,1160872,3616
2020-10-19,40274823,382836,1165769,4897
2020-10-20,40662005,387208,1172394,6625
2020-10-21,41104263,442266,1179229,6835
2020-10-22,41575003,470758,1185130,5901
2020-10-23,42069702,494708,1192181,7053
2020-10-24,42526838,457141,1198081,5900
