date,sum_total_cases_us,sum_new_cases_us,sum_total_deaths_us,sum_new_deaths_us
2020-01-22,1,0,1,1
2020-01-23,1,0,1,0
2020-01-24,2,1,1,0
2020-01-25,2,0,1,0
2020-01-26,5,3,1,0
2020-01-27,5,0,1,0
2020-01-28,5,0,1,0
2020-01-29,6,1,1,0
2020-01-30,6,0,1,0
2020-01-31,8,2,1,0
2020-02-01,8,0,1,0
2020-02-02,8,0,1,0
2020-02-03,11,3,1,0
2020-02-04,11,0,1,0
2020-02-05,11,0,1,0
2020-02-06,12,1,1,0
2020-02-07,12,0,1,0
2020-02-08,12,0,1,0
2020-02-09,12,0,1,0
2020-02-10,12,0,1,0
2020-02-11,13,1,1,0
2020-02-12,13,0,1,0
2020-02-13,14,1,1,0
2020-02-14,14,0,1,0
2020-02-15,14,3,1,0
2020-02-16,14,0,1,0
2020-02-17,15,1,1,0
2020-02-18,16,1,1,0
2020-02-19,16,0,1,0
2020-02-20,16,0,1,0
2020-02-21,16,0,1,0
2020-02-22,16,0,1,0
2020-02-23,16,0,1,0
2020-02-24,17,1,1,0
2020-02-25,18,1,1,0
2020-02-26,19,1,1,0
2020-02-27,19,0,1,0
2020-02-28,19,0,1,0
2020-02-29,26,7,2,1
2020-03-01,39,13,2,0
2020-03-02,57,19,7,5
2020-03-03,79,22,8,1
2020-03-04,113,34,12,4
2020-03-05,184,71,13,1
2020-03-06,247,63,15,2
2020-03-07,417,170,18,3
2020-03-08,538,121,22,4
2020-03-09,630,92,24,2
2020-03-10,797,167,29,5
2020-03-11,1156,367,34,5
2020-03-12,1596,451,45,11
2020-03-13,2222,632,52,8
2020-03-14,2952,784,61,10
2020-03-15,3258,419,72,11
2020-03-16,4716,1462,97,25
2020-03-17,6452,1741,133,36
2020-03-18,9165,2733,199,67
2020-03-19,13668,4508,273,74
2020-03-20,20068,6553,378,109
2020-03-21,26075,6719,483,116
2020-03-22,34945,8981,603,120
2020-03-23,46109,11393,790,192
2020-03-24,56719,11012,1033,245
2020-03-25,68849,12220,1366,343
2020-03-26,86670,17891,1785,422
2020-03-27,105335,19360,2305,537
2020-03-28,127419,22289,3018,758
2020-03-29,143555,18784,3573,653
