Date,Close/Last,Volume,Open,High,Low
11/22/2021,76.75,450842,75.75,76.88,76.12
11/19/2021,76.1,21558,78.76,79.92,75.37
11/18/2021,79.01,45129,78.34,79.36,77.08
11/17/2021,78.36,151244,80.54,80.69,77.69
11/16/2021,80.76,298561,80.93,81.81,80.03
11/15/2021,80.88,315309,80.66,81.2,79.3
11/12/2021,80.79,366085,81.21,81.62,79.78
11/11/2021,81.59,438940,81.41,82.33,80.2
11/10/2021,81.34,517666,84.53,84.97,80.81
11/09/2021,84.15,469906,82.16,84.63,81.78
11/08/2021,81.93,362989,81.13,82.67,81.05
11/05/2021,81.27,495564,79.37,81.8,78.96
11/04/2021,78.81,679979,80.18,83.42,78.25
11/03/2021,80.86,521441,83.07,83.08,79.69
11/02/2021,83.91,406851,83.87,84.41,82.92
11/01/2021,84.05,391380,83.36,84.88,82.74
10/29/2021,83.57,480154,83.09,83.74,81.41
10/28/2021,82.81,465907,82.25,83.21,80.58
10/27/2021,82.66,514578,84.39,84.51,82.01
10/26/2021,84.65,450497,83.72,84.88,82.97
10/25/2021,83.71,552769,83.98,85.41,83.39
10/22/2021,83.76,449253,82.61,84.22,81.76
10/21/2021,82.5,550857,83.58,83.96,80.79
10/20/2021,83.87,20021,83.34,84.25,81.3
10/19/2021,82.96,51571,82.37,83.74,81.8
10/18/2021,82.44,112683,82.6,83.87,81.84
10/15/2021,82.28,244384,81.48,82.66,81.39
10/14/2021,81.31,377617,80.59,81.54,80.38
10/13/2021,80.44,446933,80.58,81.04,79.42
10/12/2021,80.64,563724,80.5,81.62,79.47
10/11/2021,80.52,616208,79.59,82.18,79.55
10/08/2021,79.35,617865,78.86,80.11,78.63
10/07/2021,78.3,512312,77,78.89,74.96
10/06/2021,77.43,442865,79.04,79.78,76.83
10/05/2021,78.93,421795,77.58,79.48,77.47
10/04/2021,77.62,434907,75.9,78.38,75.32
10/01/2021,75.88,366613,75.12,75.99,74.23
09/30/2021,75.03,566200,74.78,76.07,74.53
09/29/2021,74.83,408452,74.38,75.79,73.74
09/28/2021,75.29,456945,75.43,76.67,74.24
09/27/2021,75.45,400276,74.19,75.75,74.16
09/24/2021,73.98,336445,73.24,74.27,72.81
09/23/2021,73.3,389586,71.97,73.5,71.61
09/22/2021,72.23,366304,70.85,72.3,70.64
09/21/2021,70.56,27466,70.59,71.63,69.67
09/20/2021,70.29,49307,71.92,72.08,69.86
09/17/2021,71.97,104011,72.62,72.72,71.21
09/16/2021,72.57,271543,72.65,72.99,71.53
09/15/2021,72.61,391304,70.76,73.14,70.65
09/14/2021,70.46,373449,70.64,71.22,69.98
09/13/2021,70.45,347296,69.74,70.97,69.51
09/10/2021,69.72,382399,67.97,69.96,67.68
09/09/2021,68.14,527656,69.36,69.89,67.56
09/08/2021,69.3,356036,68.37,69.75,68.31
09/07/2021,68.35,464757,69.11,69.48,67.64
09/03/2021,69.29,294675,69.76,70.53,69.05
09/02/2021,69.99,380927,68.29,70.61,67.84
09/01/2021,68.59,376119,68.55,68.69,68.17
08/31/2021,68.5,302301,69.18,69.34,68.16
08/30/2021,69.21,346705,69.3,69.64,67.67
08/27/2021,68.74,305563,67.75,69.05,67.52
08/26/2021,67.42,330284,68,68.31,67.02
08/25/2021,68.36,340791,67.63,68.54,66.92
08/24/2021,67.54,321805,65.54,67.8,65.41
08/23/2021,65.64,381167,61.96,66,61.74
08/20/2021,62.32,20071,64.05,64.1,62.11
08/19/2021,63.69,50937,64.58,64.76,62.63
08/18/2021,65.46,100783,66.58,67.48,64.34
08/17/2021,66.59,218404,67.43,67.72,66.33
08/16/2021,67.29,310196,67.71,68.27,65.73
08/13/2021,68.44,250887,68.91,69.22,67.77
08/12/2021,69.09,316001,69.36,69.62,68.46
08/11/2021,69.25,479692,68.51,69.45,66.67
08/10/2021,68.29,421649,66.85,68.9,66.56
08/09/2021,66.48,558082,67.88,67.9,65.15
08/06/2021,68.28,497049,69.14,70.18,67.8
