Date,Close/Last,Volume,Open,High,Low
11/29/2021,18.16,359,18.32,18.32,17.9
11/25/2021,18.31,N/A,18.31,18.31,18.31
11/24/2021,18.32,241,18.33,18.33,18.14
11/23/2021,18.33,477,18.23,18.44,18.07
11/22/2021,18.42,611,18.4,18.64,18.28
11/19/2021,18.57,1300,17.7,18.66,17.7
11/18/2021,17.48,574,17.19,17.77,17.15
11/17/2021,17.15,563,17.25,17.38,17.12
11/16/2021,17.21,464,17.49,17.57,17.07
11/15/2021,17.49,603,17.5,17.67,17.41
11/12/2021,17.62,431,18.14,18.25,17.43
11/11/2021,18.08,297,17.96,18.14,17.8
11/10/2021,18.03,345,18.1,18.2,17.84
11/09/2021,18.11,625,17.7,18.12,17.51
11/08/2021,17.68,663,17.56,17.86,17.33
11/05/2021,17.59,357,17.84,17.84,17.53
11/04/2021,17.81,535,17.97,18.27,17.77
11/03/2021,18.08,393,18.26,18.28,18.07
11/02/2021,18.31,429,18.65,18.84,18.25
11/01/2021,18.68,470,18.54,19.06,18.49
10/29/2021,18.5,404,18.55,18.67,18.42
10/28/2021,18.55,479,18.85,18.9,18.52
10/27/2021,18.84,318,18.74,18.99,18.65
10/26/2021,18.74,673,19.29,19.37,18.62
10/25/2021,19.37,340,19.61,19.62,19.27
10/22/2021,19.61,455,19.85,19.85,19.48
10/21/2021,19.91,656,19.38,19.99,19.33
10/20/2021,19.32,352,19.22,19.45,19.17
10/19/2021,19.22,270,19.16,19.31,19.06
10/18/2021,19.16,608,19.39,19.41,19.13
10/15/2021,19.28,400,19.35,19.48,19.23
10/14/2021,19.36,859,18.85,19.57,18.85
10/13/2021,18.85,379,18.74,18.9,18.69
10/12/2021,18.81,511,18.82,18.91,18.78
10/11/2021,18.82,465,18.77,19,18.62
10/08/2021,18.77,225,18.74,18.82,18.59
10/07/2021,18.74,519,18.57,18.82,18.57
10/06/2021,18.59,460,18.55,18.71,18.55
10/05/2021,18.56,470,18.39,18.58,18.35
10/04/2021,18.42,446,18.25,18.48,18.21
10/01/2021,18.2,761,18.28,18.29,17.91
09/30/2021,18.26,773,17.85,18.37,17.85
09/29/2021,17.88,390,17.54,17.91,17.54
09/28/2021,17.54,420,17.3,17.54,17.28
09/27/2021,17.28,270,17,17.31,17
09/24/2021,16.96,102,16.92,17.06,16.92
09/23/2021,17.27,357,17.35,17.35,17.18
09/22/2021,17.35,766,17.42,17.6,17.21
09/21/2021,17.42,591,17.14,17.55,17.1
09/20/2021,17.1,312,17.26,17.29,16.96
09/17/2021,17.18,171,17.15,17.25,17.11
09/16/2021,17.15,232,17.27,17.3,17.13
09/15/2021,17.15,572,17.27,17.41,17.13
09/14/2021,17.27,339,17.45,17.47,17.2
09/13/2021,17.5,379,17.38,17.6,17.36
09/10/2021,17.34,248,17.5,17.55,17.25
09/09/2021,17.55,314,17.6,17.69,17.38
09/08/2021,17.6,310,17.35,17.61,17.32
09/07/2021,17.45,323,16.75,17.56,16.75
09/03/2021,16.85,121,16.78,16.94,16.75
09/02/2021,16.81,262,16.79,16.94,16.7
09/01/2021,16.84,317,16.9,17.08,16.73
08/31/2021,16.9,499,16.69,16.94,16.59
08/30/2021,16.66,400,16.56,16.72,16.5
08/27/2021,16.54,477,16.97,16.97,16.52
08/26/2021,17.07,508,17.37,17.4,17.02
08/25/2021,17.36,382,17.41,17.48,17.29
08/24/2021,17.38,381,17.45,17.74,17.37
08/23/2021,17.45,642,17.13,17.48,17.1
08/20/2021,17.05,513,17.16,17.33,17
08/19/2021,17.11,635,17.13,17.42,17.06
08/18/2021,17.13,413,17.17,17.28,17.03
08/17/2021,17.31,416,17.58,17.59,17.18
