Date,Close/Last,Volume,Open,High,Low
11/29/2021,165.725,6252,167.5,168.3,165.175
11/26/2021,167.15,5368,164.075,168.175,164
11/24/2021,166.925,5565,164.675,167.225,164.225
11/23/2021,164.375,6039,161.975,164.75,161.85
11/22/2021,161.7,2987,160.775,161.975,160.1
11/19/2021,160.925,4082,161.475,162.075,160.75
11/18/2021,161.375,5661,159,161.85,158.65
11/17/2021,158.925,3693,159.25,159.5,157.875
11/16/2021,159.275,3719,158.5,159.6,158.35
11/15/2021,158.475,2585,157.65,158.75,156.875
11/12/2021,157.725,3918,159.1,159.175,156.8
11/11/2021,159.075,3969,158.25,159.4,157.5
11/10/2021,158.05,4092,159.35,159.375,157.775
11/09/2021,159.8,4414,160.6,160.6,158.65
11/08/2021,160.3,5770,159.675,160.6,159.025
11/05/2021,159.6,4373,158.3,159.8,157.725
11/04/2021,158.175,3943,159.05,159.7,158.075
11/03/2021,159.225,6318,157.425,160.15,157.425
11/02/2021,157.025,7441,152.9,157.15,152.775
11/01/2021,152.725,9001,155.9,156.725,150.775
10/29/2021,156.125,6022,157.8,158.175,155.4
10/28/2021,157.575,3921,159.35,159.375,157.3
10/27/2021,158.95,4814,160.85,161,158.55
10/26/2021,160.6,4106,158.4,160.75,158.275
10/25/2021,158.575,4448,159.825,160.5,158.425
10/22/2021,157.325,4618,160.05,160.075,156.875
10/21/2021,160,4026,160.775,161.25,159.325
10/20/2021,160.475,4311,159.225,160.625,159.05
10/19/2021,159.225,4267,159.55,161.225,158.925
10/18/2021,159.55,4359,161.475,161.95,159.35
10/15/2021,161.525,4041,162.025,162.175,161.075
10/14/2021,162.35,3899,161.45,162.5,160.8
10/13/2021,161.45,5278,162.625,162.7,161.025
10/12/2021,162.775,5976,162.3,163.125,161.7
10/11/2021,161.725,5322,161.35,161.95,160.6
10/08/2021,161.15,5149,161.475,162.125,161
10/07/2021,161.6,7787,158.125,161.75,158.1
10/06/2021,158.125,3739,156.65,158.45,155.65
10/05/2021,156.875,5728,155.35,157.925,155.15
10/04/2021,155.025,5197,152.9,155.4,152.55
10/01/2021,152.825,4254,153.6,154.325,152.65
09/30/2021,152.9,6978,155.275,155.275,152
09/29/2021,155.275,3904,156.925,157.275,154.9
09/28/2021,157.05,4226,155.025,157.15,155
09/27/2021,155.575,4522,158.15,158.35,155.125
09/24/2021,158.575,2501,157.9,158.85,157.5
09/23/2021,158.1,4141,158.525,159.725,157.375
09/22/2021,158.225,2909,157.025,158.375,156.625
09/21/2021,156.95,4055,156.75,157.575,156.375
09/20/2021,156.625,4747,155.275,156.975,154.825
09/17/2021,156.1,5449,157.3,157.3,155.625
09/16/2021,157.3,6040,157.7,157.9,155.875
09/15/2021,156.5,6099,158.15,158.15,156.225
09/14/2021,158.15,7302,156.1,158.85,155.575
09/13/2021,155.45,8825,155.6,157.325,154.775
09/10/2021,157.725,7802,158.975,159.475,156.85
09/09/2021,159.25,5913,159.7,160.25,158.775
09/08/2021,159.275,7637,159.925,161.3,158.925
09/07/2021,160.05,6350,162.95,163.175,159.15
09/03/2021,162.475,7510,165.5,165.725,161.95
09/02/2021,165.05,8541,167.825,168,164
09/01/2021,168.05,5862,167.85,169.25,167.275
08/31/2021,167.75,4888,169.2,169.625,167.1
08/30/2021,168.95,4099,168.9,169.55,167.6
08/27/2021,168.425,3680,168.5,169.2,167.225
08/26/2021,168.275,4538,169.425,169.85,167.35
08/25/2021,169.275,5444,170.1,171.2,169.2
08/24/2021,170.225,7036,170.675,172.55,169.675
08/23/2021,170.675,10607,167.675,172.475,167.55
08/20/2021,167.625,4535,165.225,167.975,164.8
08/19/2021,165.475,4040,165.525,165.85,164.725
08/18/2021,165.825,4449,164.3,165.975,164.15
08/17/2021,164.275,4163,164.95,165.375,163.95
08/16/2021,164.95,3924,165.8,166.025,164.3
