Date,Close/Last,Volume,Open,High,Low
11/29/2021,4.341,54740,4.303,4.3815,4.2875
11/26/2021,4.291,79976,4.4825,4.5115,4.2805
11/24/2021,4.4705,41600,4.4175,4.4995,4.3925
11/23/2021,4.424,32546,4.391,4.453,4.374
11/22/2021,4.3965,24583,4.395,4.4255,4.35
11/19/2021,4.396,28351,4.3025,4.4065,4.2895
11/18/2021,4.305,32007,4.2165,4.323,4.216
11/17/2021,4.272,31383,4.3525,4.3695,4.2
11/16/2021,4.3595,27279,4.4175,4.446,4.333
11/15/2021,4.403,20680,4.454,4.486,4.3935
11/12/2021,4.445,16792,4.3995,4.455,4.3705
11/11/2021,4.3935,24788,4.2935,4.4225,4.2935
11/10/2021,4.323,68944,4.374,4.414,4.285
11/09/2021,4.373,65252,4.399,4.4475,4.3375
11/08/2021,4.399,59793,4.36,4.4145,4.33
11/05/2021,4.343,65146,4.326,4.3735,4.282
11/04/2021,4.3205,69382,4.352,4.404,4.278
11/03/2021,4.321,75015,4.37,4.4505,4.28
11/02/2021,4.366,52499,4.39,4.433,4.333
11/01/2021,4.3935,49151,4.3775,4.403,4.3285
10/29/2021,4.368,66973,4.4345,4.453,4.334
10/28/2021,4.4385,65898,4.3885,4.4635,4.3525
10/27/2021,4.3895,69638,4.4955,4.51,4.363
10/26/2021,4.486,57047,4.53,4.5545,4.472
10/25/2021,4.528,53337,4.514,4.5685,4.5015
10/22/2021,4.498,87878,4.5625,4.619,4.461
10/21/2021,4.5585,80807,4.7335,4.7575,4.537
10/20/2021,4.7345,70338,4.6875,4.749,4.5935
10/19/2021,4.703,72101,4.716,4.815,4.6685
10/18/2021,4.7255,74885,4.7305,4.823,4.6855
10/15/2021,4.7295,93125,4.6185,4.781,4.6035
10/14/2021,4.6315,89650,4.4905,4.6365,4.483
10/13/2021,4.516,103062,4.3225,4.528,4.305
10/12/2021,4.3255,63865,4.339,4.3955,4.2865
10/11/2021,4.3665,59676,4.2795,4.385,4.2555
10/08/2021,4.2755,50987,4.2495,4.301,4.2225
10/07/2021,4.2435,40595,4.1755,4.26,4.1625
10/06/2021,4.1475,47065,4.182,4.2185,4.114
10/05/2021,4.1925,40322,4.239,4.242,4.151
10/04/2021,4.2385,44659,4.2145,4.303,4.1775
10/01/2021,4.1885,50664,4.1065,4.21,4.0585
09/30/2021,4.089,69254,4.1775,4.208,4.0545
09/29/2021,4.199,46156,4.2485,4.2575,4.1665
09/28/2021,4.2465,50728,4.2785,4.3015,4.231
09/27/2021,4.2895,47947,4.2925,4.3175,4.255
09/24/2021,4.2855,58107,4.23,4.302,4.203
09/23/2021,4.231,48034,4.225,4.288,4.1945
09/22/2021,4.252,66758,4.1125,4.2775,4.107
09/21/2021,4.126,71707,4.1245,4.179,4.016
09/20/2021,4.1145,63747,4.2395,4.246,4.094
09/17/2021,4.246,53072,4.2815,4.359,4.231
09/16/2021,4.2815,57951,4.402,4.412,4.256
09/15/2021,4.4065,53363,4.3155,4.4225,4.2915
09/14/2021,4.321,49999,4.3675,4.3775,4.287
09/13/2021,4.367,68664,4.426,4.4715,4.3315
09/10/2021,4.452,84030,4.28,4.469,4.273
09/09/2021,4.2855,41688,4.2375,4.314,4.2155
09/08/2021,4.233,50295,4.275,4.2995,4.206
09/07/2021,4.2815,56305,4.334,4.3465,4.255
09/03/2021,4.334,43857,4.2975,4.351,4.28
09/02/2021,4.304,38603,4.283,4.311,4.252
09/01/2021,4.278,51755,4.3655,4.373,4.256
08/31/2021,4.375,56497,4.3785,4.3935,4.336
08/30/2021,4.3755,41015,4.338,4.418,4.3305
08/27/2021,4.332,57776,4.2495,4.3415,4.2375
08/26/2021,4.2595,41509,4.278,4.2875,4.2305
08/25/2021,4.276,35352,4.2575,4.3045,4.2415
08/24/2021,4.2605,37557,4.208,4.297,4.192
08/23/2021,4.221,35348,4.12,4.237,4.12
08/20/2021,4.123,41015,4.0495,4.1415,4.045
08/19/2021,4.0435,49841,4.117,4.1365,3.9665
08/18/2021,4.12,37495,4.2235,4.249,4.1
08/17/2021,4.2045,39150,4.3225,4.3375,4.2
08/16/2021,4.3215,28408,4.359,4.3735,4.2985
08/13/2021,4.3915,49864,4.362,4.431,4.3515
08/12/2021,4.36,56267,4.3675,4.416,4.3365
08/11/2021,4.3675,50396,4.3465,4.3785,4.318
08/10/2021,4.354,59725,4.292,4.3725,4.284
08/09/2021,4.2895,68269,4.3365,4.3435,4.2435
08/06/2021,4.336,66211,4.3485,4.4215,4.3315
08/05/2021,4.348,41288,4.3325,4.359,4.3055
08/04/2021,4.3325,54465,4.381,4.398,4.316
08/03/2021,4.386,68602,4.433,4.4425,4.3385
08/02/2021,4.433,63524,4.4935,4.5315,4.4095
07/30/2021,4.4825,64477,4.524,4.556,4.445
07/29/2021,4.5235,57103,4.4795,4.549,4.4595
07/28/2021,4.482,78378,4.558,4.5875,4.4295
07/27/2021,4.5445,84485,4.593,4.6275,4.505
07/26/2021,4.585,104489,4.449,4.6085,4.419
07/23/2021,4.4,87070,4.3375,4.4605,4.3335
07/22/2021,4.3375,56558,4.28,4.3445,4.273
07/21/2021,4.272,50709,4.2595,4.29,4.226
07/20/2021,4.263,62378,4.201,4.27,4.1945
07/19/2021,4.2015,98035,4.31,4.31,4.1665
07/16/2021,4.306,44788,4.3115,4.3445,4.3015
07/15/2021,4.323,65790,4.266,4.3465,4.2515
07/14/2021,4.2675,50860,4.2925,4.307,4.2575
07/13/2021,4.307,61420,4.329,4.3425,4.255
07/12/2021,4.316,55185,4.3465,4.364,4.2805
07/09/2021,4.3455,80656,4.27,4.369,4.2535
07/08/2021,4.2645,71175,4.308,4.324,4.2325
07/07/2021,4.3225,80201,4.2505,4.362,4.2475
07/06/2021,4.251,146316,4.281,4.4025,4.234
07/02/2021,4.276,52408,4.2425,4.2945,4.2275
07/01/2021,4.236,69776,4.289,4.3145,4.2265
06/30/2021,4.289,69374,4.2575,4.335,4.2515
06/29/2021,4.2645,67882,4.278,4.281,4.203
06/28/2021,4.2785,44607,4.279,4.3085,4.252
06/25/2021,4.2895,41239,4.303,4.3285,4.2665
06/24/2021,4.305,38402,4.3125,4.3185,4.2515
06/23/2021,4.324,43176,4.223,4.3355,4.2195
06/22/2021,4.219,43338,4.182,4.2505,4.167
06/21/2021,4.1845,38118,4.134,4.1915,4.094
