Date,Close/Last,Volume,Open,High,Low
11/22/2021,2.3242,81564,2.2818,2.3283,2.3089
11/19/2021,2.2874,101712,2.3772,2.4017,2.2627
11/18/2021,2.3767,58440,2.3634,2.385,2.3345
11/17/2021,2.3564,57024,2.4161,2.4217,2.3469
11/16/2021,2.4216,47842,2.394,2.4334,2.3822
11/15/2021,2.3981,61286,2.401,2.415,2.351
11/12/2021,2.4037,61314,2.434,2.443,2.3835
11/11/2021,2.4471,64770,2.447,2.4678,2.4131
11/10/2021,2.4521,53562,2.5126,2.528,2.4347
11/09/2021,2.5081,56049,2.474,2.5158,2.4595
11/08/2021,2.4671,51320,2.4433,2.4859,2.4433
11/05/2021,2.4556,53272,2.4153,2.474,2.4005
11/04/2021,2.4066,53825,2.4171,2.504,2.398
11/03/2021,2.4345,54165,2.4907,2.494,2.412
11/02/2021,2.5082,58227,2.4999,2.5193,2.4635
11/01/2021,2.5031,43175,2.4764,2.515,2.4631
10/29/2021,2.4787,53730,2.4915,2.5059,2.4534
10/28/2021,2.4848,66979,2.4969,2.5008,2.4428
10/27/2021,2.5062,66333,2.5575,2.561,2.4862
10/26/2021,2.5685,60332,2.558,2.5708,2.5389
10/25/2021,2.5572,52438,2.5353,2.5728,2.5311
10/22/2021,2.5312,62246,2.5442,2.56,2.5181
10/21/2021,2.5407,59002,2.581,2.5879,2.5076
10/20/2021,2.5838,69664,2.5569,2.5849,2.509
10/19/2021,2.5517,69180,2.5259,2.5593,2.501
10/18/2021,2.5408,65562,2.5598,2.5983,2.5256
10/15/2021,2.5641,69726,2.5548,2.5873,2.5477
10/14/2021,2.5498,44367,2.5158,2.5572,2.5094
10/13/2021,2.5211,49231,2.5089,2.5293,2.4747
10/12/2021,2.51,55144,2.515,2.5302,2.4845
10/11/2021,2.515,46349,2.4743,2.5376,2.4743
10/08/2021,2.4737,55150,2.469,2.5029,2.4635
10/07/2021,2.4596,51645,2.4377,2.4724,2.3735
10/06/2021,2.442,50589,2.4936,2.5213,2.429
10/05/2021,2.4936,56436,2.4375,2.5032,2.4314
10/04/2021,2.4366,49687,2.3826,2.4526,2.3659
10/01/2021,2.3827,45071,2.3396,2.3871,2.3222
09/30/2021,2.3385,63867,2.3111,2.3662,2.325
09/29/2021,2.3047,48313,2.2709,2.3149,2.2503
09/28/2021,2.286,62019,2.2901,2.3297,2.2624
09/27/2021,2.2931,61228,2.2656,2.3099,2.265
09/24/2021,2.2646,48417,2.243,2.268,2.2292
09/23/2021,2.2464,54096,2.2034,2.2485,2.1884
09/22/2021,2.2087,58927,2.1769,2.2114,2.1723
09/21/2021,2.171,41652,2.1656,2.1922,2.1411
09/20/2021,2.1561,48121,2.2079,2.2097,2.1457
09/17/2021,2.2064,41324,2.189,2.216,2.189
09/16/2021,2.209,38273,2.2019,2.2141,2.1725
09/15/2021,2.2035,34240,2.163,2.2225,2.1623
09/14/2021,2.1591,36173,2.1612,2.1734,2.143
09/13/2021,2.1583,36446,2.1436,2.1738,2.138
09/10/2021,2.146,37196,2.1105,2.1557,2.1011
09/09/2021,2.1137,45103,2.135,2.1463,2.0911
09/08/2021,2.1364,47066,2.1228,2.1525,2.1205
09/07/2021,2.1216,43807,2.1546,2.1656,2.1096
09/03/2021,2.1594,35775,2.1621,2.1848,2.1491
09/02/2021,2.1677,41905,2.1219,2.1836,2.11
09/01/2021,2.1289,49247,2.1347,2.1315,2.1172
08/31/2021,2.1302,51745,2.1376,2.1423,2.1043
08/30/2021,2.1378,71013,2.1296,2.1509,2.0979
08/27/2021,2.107,52387,2.0755,2.1152,2.0685
08/26/2021,2.0811,71120,2.1108,2.1194,2.0697
08/25/2021,2.1181,80143,2.0694,2.1214,2.0548
08/24/2021,2.0694,68180,2.0053,2.0735,2.0018
08/23/2021,2.0082,70091,1.8988,2.0157,1.8976
08/20/2021,1.91,60894,1.9661,1.9734,1.8971
08/19/2021,1.9714,57849,2.0031,2.0108,1.9465
08/18/2021,2.0246,43381,2.0381,2.0639,2.0013
08/17/2021,2.0392,27806,2.0583,2.0682,2.0333
08/16/2021,2.0483,45338,2.0689,2.0769,2.0166
08/13/2021,2.0779,42317,2.1,2.1074,2.0634
08/12/2021,2.1039,42570,2.1114,2.1136,2.0775
08/11/2021,2.1058,51602,2.089,2.1122,2.0456
08/10/2021,2.0802,46626,2.048,2.0965,2.0384
08/09/2021,2.0421,49689,2.0758,2.0758,2.0059
08/06/2021,2.0845,45079,2.1027,2.126,2.0732
08/05/2021,2.106,46952,2.0741,2.1081,2.06
08/04/2021,2.0741,54316,2.1235,2.1358,2.0666
08/03/2021,2.1264,40976,2.1438,2.1587,2.0892
08/02/2021,2.1358,36853,2.191,2.1947,2.1183
07/30/2021,2.1956,37452,2.191,2.2045,2.1759
07/29/2021,2.1921,40592,2.155,2.1952,2.1537
07/28/2021,2.1577,36546,2.15,2.1627,2.1429
07/27/2021,2.1456,49484,2.1591,2.167,2.1329
07/26/2021,2.1525,44751,2.1374,2.1599,2.1007
07/23/2021,2.1354,46263,2.1324,2.1402,2.1222
07/22/2021,2.1336,49613,2.0884,2.1371,2.0748
07/21/2021,2.0886,45148,1.9973,2.0942,1.9942
07/20/2021,2.0142,39069,1.9859,2.0209,1.9641
07/19/2021,1.9868,45001,2.1014,2.1081,1.9691
07/16/2021,2.115,18823,2.1068,2.1298,2.085
07/15/2021,2.1141,24552,2.1395,2.1437,2.1038
07/14/2021,2.1435,47064,2.1792,2.183,2.1098
07/13/2021,2.1844,35249,2.151,2.1877,2.1444
07/12/2021,2.1498,37241,2.1527,2.1603,2.1164
07/09/2021,2.1552,36661,2.1281,2.1654,2.1117
07/08/2021,2.1204,47625,2.0849,2.1299,2.051
07/07/2021,2.0891,48610,2.1243,2.1505,2.062
07/06/2021,2.1049,58219,2.179,2.2101,2.0984
07/02/2021,2.1791,34014,2.1495,2.1841,2.1411
07/01/2021,2.1562,46229,2.1314,2.1867,2.1283
06/30/2021,2.1283,38800,2.134,2.148,2.1084
06/29/2021,2.1245,37530,2.122,2.1512,2.1015
06/28/2021,2.1208,48629,2.1496,2.1582,2.119
06/25/2021,2.1515,57922,2.166,2.178,2.0902
06/24/2021,2.165,52750,2.1635,2.1683,2.1344
06/23/2021,2.1624,57053,2.1551,2.1916,2.1503
06/22/2021,2.1544,51340,2.128,2.1609,2.1185
06/21/2021,2.1297,52323,2.0903,2.1327,2.0737
06/18/2021,2.0932,35039,2.0679,2.102,2.0432
06/17/2021,2.0668,42564,2.0944,2.1106,2.0376
06/16/2021,2.1034,42293,2.1129,2.1278,2.087
06/15/2021,2.1123,30713,2.1116,2.1267,2.1036
06/14/2021,2.1116,33463,2.1146,2.1422,2.1074
06/11/2021,2.1207,49701,2.1417,2.1528,2.0912
06/10/2021,2.1434,37223,2.1226,2.1451,2.101
06/09/2021,2.1295,34014,2.1344,2.1502,2.1186
06/08/2021,2.135,42629,2.1156,2.1404,2.092
06/07/2021,2.1156,35624,2.1134,2.1174,2.116
06/04/2021,2.1199,24674,2.1046,2.1216,2.1122
06/03/2021,2.1017,33652,2.1061,2.105,2.0906
06/02/2021,2.1071,38796,2.0775,2.1105,2.0907
06/01/2021,2.0715,59801,2.044,2.0809,2.0777
05/28/2021,2.0383,38200,2.0558,2.072,2.0335
05/27/2021,2.0552,39281,2.046,2.0588,2.0548
05/26/2021,2.0439,43854,2.0336,2.0485,2.018
05/25/2021,2.0339,41622,2.044,2.036,2.0264
05/24/2021,2.0412,40124,1.9918,2.0453,2.0197
05/21/2021,1.9876,47954,1.9585,2.0018,1.9471
05/20/2021,1.9635,45746,2.0048,1.9917,1.9544
05/19/2021,2.0051,44766,2.0466,2.0061,1.9973
05/18/2021,2.0544,39011,2.0592,2.0562,2.0458
05/17/2021,2.0586,29487,2.0355,2.0607,2.0574
05/14/2021,2.0362,40212,1.9997,2.0407,1.9857
05/13/2021,2.0009,60368,2.0669,2.069,1.9827
05/12/2021,2.0695,65858,2.0418,2.081,2.0311
05/11/2021,2.0432,58019,2.0164,2.0452,2.0382
05/10/2021,2.0166,72280,2.06,2.0776,1.9958
05/07/2021,2.0106,50049,1.9926,2.0122,2.0053
05/06/2021,1.9895,34369,1.9952,1.9973,1.9858
