Date,Close/Last,Volume,Open,High,Low
11/22/2021,4.789,89500,4.91,4.957,4.648
11/19/2021,5.065,101116,4.895,5.156,4.838
11/18/2021,4.902,105531,4.896,5.032,4.83
11/17/2021,4.816,136399,5.159,5.165,4.8
11/16/2021,5.177,136124,5.058,5.394,5.024
11/15/2021,5.017,112933,4.903,5.065,4.713
11/12/2021,4.791,130776,5.129,5.141,4.752
11/11/2021,5.149,125440,4.917,5.176,4.889
11/10/2021,4.88,163057,4.962,5.046,4.725
11/09/2021,4.979,192311,5.41,5.467,4.91
11/08/2021,5.427,146517,5.605,5.663,5.38
11/05/2021,5.516,122611,5.67,5.76,5.501
11/04/2021,5.716,143941,5.86,5.876,5.535
11/03/2021,5.67,135782,5.553,5.865,5.465
11/02/2021,5.542,147721,5.22,5.565,5.206
11/01/2021,5.186,158120,5.31,5.497,5.116
10/29/2021,5.426,143198,5.732,5.837,5.401
10/28/2021,5.782,160024,6.138,6.206,5.713
10/27/2021,6.198,178600,5.946,6.281,5.886
10/26/2021,5.882,42035,5.959,6.091,5.595
10/25/2021,5.898,48142,5.468,6.008,5.462
10/22/2021,5.28,71106,5.196,5.379,5.121
10/21/2021,5.115,100357,5.151,5.227,5.006
10/20/2021,5.17,130738,5.066,5.221,4.912
10/19/2021,5.088,147795,4.985,5.1,4.825
10/18/2021,4.989,161089,5.299,5.37,4.955
10/15/2021,5.41,175248,5.641,5.789,5.4
10/14/2021,5.687,161460,5.676,5.964,5.604
10/13/2021,5.59,174515,5.456,5.693,5.35
10/12/2021,5.505,191672,5.408,5.523,5.168
10/11/2021,5.345,169371,5.695,5.799,5.308
10/08/2021,5.565,145578,5.761,5.876,5.548
10/07/2021,5.677,218705,5.71,5.835,5.393
10/06/2021,5.675,261353,6.321,6.466,5.663
10/05/2021,6.312,208528,5.83,6.392,5.79
10/04/2021,5.766,203638,5.628,6.064,5.628
10/01/2021,5.619,171105,5.975,6.01,5.533
09/30/2021,5.867,228135,5.457,5.994,5.341
09/29/2021,5.477,209040,5.857,5.955,5.421
09/28/2021,5.841,5523,5.8,6.28,5.602
09/27/2021,5.706,47157,5.191,5.851,5.176
09/24/2021,5.14,46545,5.036,5.183,4.99
09/23/2021,4.976,99158,4.758,5.037,4.741
09/22/2021,4.76,95090,4.811,4.898,4.744
09/21/2021,4.805,149644,4.962,5.046,4.735
09/20/2021,4.985,143968,5.015,5.172,4.905
09/17/2021,5.105,153529,5.27,5.394,5.044
09/16/2021,5.335,208089,5.41,5.6,5.228
09/15/2021,5.46,267150,5.28,5.65,5.266
09/14/2021,5.26,183062,5.199,5.369,5.171
09/13/2021,5.231,191680,4.945,5.289,4.879
09/10/2021,4.938,136929,5.002,5.058,4.913
09/09/2021,5.031,224428,4.917,5.047,4.82
09/08/2021,4.914,232232,4.598,5.01,4.585
09/07/2021,4.568,158315,4.71,4.774,4.557
09/03/2021,4.712,107763,4.627,4.718,4.586
09/02/2021,4.641,171356,4.639,4.727,4.577
09/01/2021,4.615,234327,4.403,4.706,4.378
08/31/2021,4.377,139781,4.312,4.417,4.215
08/30/2021,4.305,161299,4.499,4.526,4.222
08/27/2021,4.37,3899,4.202,4.397,4.197
08/26/2021,4.184,64362,3.917,4.217,3.896
08/25/2021,3.897,37979,3.9,3.991,3.858
08/24/2021,3.896,54557,3.929,3.97,3.884
08/23/2021,3.945,78401,3.862,3.953,3.838
08/20/2021,3.851,99839,3.863,3.951,3.833
08/19/2021,3.83,116619,3.826,3.881,3.734
08/18/2021,3.852,90806,3.826,3.875,3.789
08/17/2021,3.837,123043,3.938,3.954,3.803
08/16/2021,3.946,96628,3.846,3.988,3.817
08/13/2021,3.861,113347,3.915,3.953,3.846
08/12/2021,3.933,163921,4.057,4.067,3.9
08/11/2021,4.059,139141,4.11,4.129,3.979
08/10/2021,4.089,134886,4.039,4.126,4.016
08/09/2021,4.06,160132,4.168,4.185,4.002
08/06/2021,4.134,128552,4.159,4.191,4.098
08/05/2021,4.14,118488,4.152,4.205,4.116
08/04/2021,4.158,134877,4.066,4.205,4.056
08/03/2021,4.027,115551,3.959,4.077,3.915
08/02/2021,3.935,105733,3.973,4.042,3.928
07/30/2021,3.914,150564,4.051,4.055,3.855
07/29/2021,4.059,113681,3.941,4.097,3.927
07/28/2021,4.044,3877,3.947,4.064,3.874
07/27/2021,3.971,40472,4.095,4.114,3.934
07/26/2021,4.102,47082,4.025,4.187,4.01
07/23/2021,4.06,69409,3.996,4.071,3.976
07/22/2021,4.003,98347,3.922,4.006,3.876
07/21/2021,3.959,103231,3.927,3.965,3.891
07/20/2021,3.876,113442,3.772,3.934,3.74
07/19/2021,3.779,116582,3.703,3.788,3.686
07/16/2021,3.674,82330,3.617,3.688,3.584
07/15/2021,3.614,111302,3.67,3.686,3.605
