Date,Close/Last,Volume,Open,High,Low
11/29/2021,58.28,54217,59,60.25,58.2
11/26/2021,58.88,51375,59.5,59.54,58.68
11/24/2021,60.7,67892,60.07,61.98,59.96
11/23/2021,60.08,46086,59.38,60.13,58.36
11/22/2021,59.35,41312,58.15,59.45,58.05
11/19/2021,58.06,49070,59.23,59.75,57.84
11/18/2021,59.18,47247,59.16,60.19,58.75
11/17/2021,59.16,40464,59.15,60.45,58.87
11/16/2021,59.02,39927,58.14,59.47,58.1
11/15/2021,58.01,42214,58.82,58.85,57.35
11/12/2021,58.82,32977,58.99,59.25,58.38
11/11/2021,58.94,23455,58.98,59.56,58.32
11/10/2021,59.14,48766,58.65,59.86,58.5
11/09/2021,58.47,54480,58.09,59.21,57.45
11/08/2021,58.05,39809,58.82,59.39,57.77
11/05/2021,58.78,55963,59.55,59.64,58.12
11/04/2021,59.58,53546,60.96,61.5,59.34
11/03/2021,61.03,45497,61.97,62.44,60.62
11/02/2021,61.99,31631,61.97,62.38,61.42
11/01/2021,61.97,36089,61.3,62.25,60.77
10/29/2021,61.27,33011,60.87,61.88,60.55
10/28/2021,60.87,40017,61.43,61.73,60.52
10/27/2021,61.42,51369,62.33,62.5,61.01
10/26/2021,62.31,41050,63.24,63.5,62.1
10/25/2021,63.14,37326,62.13,63.58,62.01
10/22/2021,62.09,44331,62.65,63,61.93
10/21/2021,62.58,54250,64.7,65,62.41
10/20/2021,64.7,60908,62.41,64.9,62.3
10/19/2021,62.39,39154,61.93,62.52,61.35
10/18/2021,62.02,43456,61.43,62.2,60.86
10/15/2021,61.29,47264,60.46,61.46,60.26
10/14/2021,60.44,42688,59.69,60.5,59.26
10/13/2021,59.59,74628,58.98,60.65,58.75
10/12/2021,58.85,60446,60.54,60.66,58.52
10/11/2021,60.51,39244,61.32,62.14,60.44
10/08/2021,61.51,62394,61.98,63.08,61.29
10/07/2021,62.06,65238,60.51,62.22,59.82
10/06/2021,60.34,59492,61.15,61.9,60.26
10/05/2021,61.14,72160,58.67,61.63,58.43
10/04/2021,58.83,49767,58.65,59.7,57.84
10/01/2021,58.82,61340,58.67,59.21,57.71
09/30/2021,58.69,92769,57.83,59.5,57.25
09/29/2021,57.83,51117,57.43,58.32,57.02
09/28/2021,57.46,54168,58.11,58.32,57.29
09/27/2021,58.11,61750,57.87,58.6,57.05
09/24/2021,57.87,63239,56.99,58.07,56.62
09/23/2021,57.02,45107,56.32,57.38,56.12
09/22/2021,56.35,77841,55.3,56.58,54.36
09/21/2021,55.29,55808,54.83,55.5,54.18
09/20/2021,54.87,39147,56.35,56.36,54.8
09/17/2021,56.26,51266,56.92,57.05,55.51
09/16/2021,56.84,53750,58.49,58.75,56.78
09/15/2021,58.37,51453,56.95,58.51,56.87
09/14/2021,56.87,44572,56.04,57.95,55.92
09/13/2021,56.07,40518,56.33,56.46,55.68
09/10/2021,55.99,65630,56.28,56.7,55.36
09/09/2021,56.19,61088,57.56,57.68,56.11
09/08/2021,57.49,46355,57.74,58.63,57.05
09/07/2021,57.76,48638,58.88,59.5,57.47
09/03/2021,59,39311,58.64,59.92,58.41
09/02/2021,58.79,51008,57.84,58.93,57.21
09/01/2021,57.94,48354,58.73,59.23,57.33
08/31/2021,58.75,54334,59.59,60,57.6
08/30/2021,59.61,45534,60.57,60.76,58.62
08/27/2021,60.34,57068,59.78,60.65,58.41
08/26/2021,60.03,46909,61.25,61.3,59.59
08/25/2021,61.24,39766,60.47,61.55,59.99
08/24/2021,60.55,56213,58.69,61.46,58.29
08/23/2021,58.56,58190,56.71,58.9,56.64
08/20/2021,56.65,87144,59.92,60.92,56.42
08/19/2021,59.92,44099,61.36,61.4,59.68
08/18/2021,61.48,33368,62.26,62.39,61.25
08/17/2021,62.12,38825,63.13,63.51,61.89
08/16/2021,62.94,41299,63.62,64,62.74
08/13/2021,63.28,40783,61.6,63.38,61.17
08/12/2021,61.58,63817,61.52,62.85,60.4
08/11/2021,61.6,57100,60.62,62.63,60.45
08/10/2021,60.62,44144,59.79,61.19,59.62
08/09/2021,59.94,47213,61.45,61.87,59.37
08/06/2021,61.27,50693,60.89,61.7,60.55
08/05/2021,60.86,39015,61.52,61.95,60.45
08/04/2021,61.54,48862,61.75,62.56,60.76
08/03/2021,61.8,52740,62.33,62.88,60.93
08/02/2021,62.59,60243,63.24,63.3,61.7
07/30/2021,63.04,57441,64.77,64.94,62.55
07/29/2021,64.71,39761,63.61,65.04,63.18
07/28/2021,63.4,41379,63.16,63.8,62.42
07/27/2021,62.91,54025,64.36,64.95,62.81
07/26/2021,64.07,62241,63.45,64.12,62.11
07/23/2021,63.23,57849,62.36,63.35,61.56
07/22/2021,61.96,62147,62.9,63,60.58
07/21/2021,62.78,56711,64.07,64.37,62.15
07/20/2021,63.93,51325,63.08,64.78,63.04
07/19/2021,63.08,58874,65.57,66.34,62.62
07/16/2021,65.22,37195,64.45,65.64,64.01
07/15/2021,64.49,38439,63.7,65.04,63.5
07/14/2021,63.75,37348,63.56,64.38,63.03
07/13/2021,63.48,47130,62.26,64.42,62
07/12/2021,62.36,40639,60.98,62.9,60.98
07/09/2021,60.94,38902,59.16,61.83,58.86
07/08/2021,59.18,39665,59.9,60.37,58.42
07/07/2021,59.69,47563,58.7,60.14,58.03
07/06/2021,58.78,41165,61.1,61.2,58.78
07/02/2021,62.28,43693,61.8,63.5,61.04
07/01/2021,61.49,57238,62.75,64.87,61.33
06/30/2021,62.76,69446,61.42,64.76,59.82
06/29/2021,61.29,53935,60.67,63.09,59.12
06/28/2021,60.03,53500,57.04,60.47,56.91
06/25/2021,57.24,77246,60.24,61.51,56.66
06/24/2021,60.16,46783,59.33,60.28,57.79
06/23/2021,59.54,52457,58.05,60.16,58.05
06/22/2021,57.99,52609,58.08,59.31,56.62
06/21/2021,57.93,59585,55.21,58.15,54.33
06/18/2021,56.01,64811,52.13,56.83,51.98
06/17/2021,52.33,74802,57.73,57.85,52.33
