Date,Close/Last,Volume,Open,High,Low
11/22/2021,14.545,524,14.565,14.7,14.435
11/19/2021,14.565,726,14.59,14.6,14.51
11/18/2021,14.59,1426,14.365,14.63,14.365
11/17/2021,14.37,1449,14.165,14.42,14.165
11/16/2021,14.185,765,14.13,14.21,14.105
11/15/2021,14.15,797,14.085,14.155,14
11/12/2021,14.115,601,14.035,14.13,13.995
11/11/2021,14.06,1025,13.965,14.105,13.94
11/10/2021,13.89,610,13.78,13.94,13.73
11/09/2021,13.795,537,13.56,13.82,13.52
11/08/2021,13.595,200,13.55,13.725,13.495
11/05/2021,13.55,178,13.445,13.565,13.445
11/04/2021,13.445,477,13.275,13.575,13.275
11/03/2021,13.275,621,13.285,13.31,13.245
11/02/2021,13.28,1458,13.475,13.525,13.005
11/01/2021,13.475,798,13.6,13.685,13.465
10/29/2021,13.565,593,13.575,13.595,13.535
10/28/2021,13.57,894,13.555,13.645,13.555
10/27/2021,13.56,859,13.54,13.67,13.54
10/26/2021,13.54,823,13.665,13.67,13.54
10/25/2021,13.67,966,13.735,13.86,13.665
10/22/2021,13.75,554,13.815,13.825,13.72
10/21/2021,13.825,585,13.87,13.875,13.655
10/20/2021,13.875,906,13.985,13.985,13.87
10/19/2021,13.72,546,13.85,13.875,13.71
10/18/2021,13.85,605,13.85,13.885,13.705
10/15/2021,13.855,654,13.935,13.95,13.8
10/14/2021,13.87,794,13.785,13.945,13.785
10/13/2021,13.805,868,13.715,13.82,13.675
10/12/2021,13.705,533,13.735,13.775,13.675
10/11/2021,13.78,538,13.77,13.835,13.72
10/08/2021,13.735,642,13.835,13.84,13.72
10/07/2021,13.84,587,13.65,13.86,13.62
10/06/2021,13.61,409,13.58,13.65,13.52
10/05/2021,13.525,390,13.535,13.55,13.52
10/04/2021,13.54,518,13.615,13.67,13.53
10/01/2021,13.615,552,13.69,13.77,13.555
09/30/2021,13.715,502,13.77,13.8,13.61
09/29/2021,13.805,432,13.835,13.915,13.78
09/28/2021,13.93,538,13.94,14,13.76
09/27/2021,13.995,634,13.86,14,13.85
09/24/2021,13.9,455,13.795,13.95,13.69
09/23/2021,13.83,460,13.895,13.92,13.735
09/22/2021,13.885,504,13.845,13.9,13.65
09/21/2021,13.85,463,13.64,13.88,13.64
09/20/2021,13.725,461,13.78,13.8,13.515
09/17/2021,13.78,316,13.695,13.785,13.695
09/16/2021,13.685,623,13.785,13.8,13.63
09/15/2021,13.79,734,13.615,13.8,13.555
09/14/2021,13.635,453,13.51,13.7,13.51
09/13/2021,13.55,379,13.48,13.6,13.46
09/10/2021,13.48,386,13.315,13.485,13.285
09/09/2021,13.31,256,13.335,13.465,13.305
09/08/2021,13.32,233,13.35,13.355,13.265
09/07/2021,13.335,231,13.28,13.4,13.255
09/03/2021,13.31,354,13.29,13.435,13.255
09/02/2021,13.3,404,13.24,13.385,13.22
