Date,Close/Last,Volume,Open,High,Low
6/2/2020,19.065,1185,18.1,19.065,18.1
6/1/2020,18.115,1273,17.2,18.165,17.015
5/29/2020,17.215,801,16.88,17.315,16.815
5/28/2020,16.885,1021,16.4,17.31,16.295
5/27/2020,16.36,287,16.25,16.4,16.22
5/26/2020,16.24,303,16.01,16.395,16
5/20/2020,16.085,210,16.05,16.195,16.005
5/18/2020,16.07,471,16.055,16.375,15.99
5/22/2020,16.05,175,16.015,16.125,16
5/21/2020,16.04,204,16.08,16.08,15.94
5/19/2020,16.03,246,16.03,16.165,15.91
5/15/2020,16.015,391,15.95,16.04,15.535
5/14/2020,15.925,491,15.65,16.545,15.65
5/13/2020,15.65,269,15.52,15.68,15.425
5/12/2020,15.455,516,15.4,15.81,15.25
5/11/2020,15.4,228,15.24,15.455,15.24
4/23/2020,15.365,1673,14.895,15.48,14.82
5/8/2020,15.33,481,15.045,15.5,15.045
5/7/2020,15.05,143,14.935,15.085,14.86
4/27/2020,15,1022,14.595,15.04,14.32
4/22/2020,14.895,991,14.35,14.935,14.3
5/6/2020,14.89,266,14.72,14.985,14.69
4/30/2020,14.79,516,14.67,15.055,14.67
5/1/2020,14.775,323,14.85,15.045,14.725
4/28/2020,14.76,517,14.995,15.005,14.715
5/5/2020,14.735,206,14.71,14.78,14.6
5/4/2020,14.72,388,14.82,14.855,14.65
4/6/2020,14.68,719,14.61,14.74,14.595
4/29/2020,14.675,526,14.7,14.785,14.025
4/24/2020,14.665,990,15.365,15.62,14.515
11/18/2021,14.59,1426,14.365,14.63,14.365
11/19/2021,14.565,726,14.59,14.6,14.51
4/20/2020,14.56,868,14.5,14.73,14.435
4/3/2020,14.55,828,14.3,14.68,14.27
11/22/2021,14.545,524,14.565,14.7,14.435
4/9/2020,14.52,494,14.205,14.545,14.185
4/17/2020,14.495,426,14.365,14.515,14.335
5/7/2021,14.49,537,14.15,14.51,14.08
5/5/2021,14.415,1394,14.085,14.62,13.94
11/17/2021,14.37,1449,14.165,14.42,14.165
4/21/2020,14.34,1357,14.22,14.445,14.1
4/7/2020,14.34,733,14.64,14.66,14.065
4/16/2020,14.325,923,14.27,14.335,14.24
4/13/2020,14.325,456,14.46,14.605,14.315
4/8/2020,14.315,471,14.385,14.39,14.07
3/18/2020,14.29,1433,13.93,14.35,13.8
4/14/2020,14.28,771,14.345,14.47,14.125
4/2/2020,14.245,755,14.065,14.33,14.055
5/10/2021,14.21,624,14.485,14.495,13.95
5/6/2021,14.2,758,14.2,14.24,14.14
4/15/2020,14.19,478,14.265,14.355,14.135
11/16/2021,14.185,765,14.13,14.21,14.105
11/15/2021,14.15,797,14.085,14.155,14
5/4/2021,14.135,926,14.03,14.16,14.03
11/12/2021,14.115,601,14.035,14.13,13.995
3/30/2020,14.095,643,13.995,14.17,13.97
5/11/2021,14.07,280,14.24,14.245,14.03
11/11/2021,14.06,1025,13.965,14.105,13.94
4/1/2020,14.055,1189,14,14.14,13.815
5/12/2021,14.04,261,14.16,14.21,14
3/31/2020,14.035,695,14.095,14.13,14
9/27/2021,13.995,634,13.86,14,13.85
3/27/2020,13.97,394,13.725,14.09,13.725
3/17/2020,13.95,1698,13.615,14.065,13.58
9/28/2021,13.93,538,13.94,14,13.76
3/19/2020,13.92,971,14.175,14.32,13.895
9/24/2021,13.9,455,13.795,13.95,13.69
11/10/2021,13.89,610,13.78,13.94,13.73
9/22/2021,13.885,504,13.845,13.9,13.65
10/20/2021,13.875,906,13.985,13.985,13.87
10/14/2021,13.87,794,13.785,13.945,13.785
10/15/2021,13.855,654,13.935,13.95,13.8
10/18/2021,13.85,605,13.85,13.885,13.705
9/21/2021,13.85,463,13.64,13.88,13.64
10/7/2021,13.84,587,13.65,13.86,13.62
9/23/2021,13.83,460,13.895,13.92,13.735
10/21/2021,13.825,585,13.87,13.875,13.655
10/13/2021,13.805,868,13.715,13.82,13.675
9/29/2021,13.805,432,13.835,13.915,13.78
11/9/2021,13.795,537,13.56,13.82,13.52
9/15/2021,13.79,734,13.615,13.8,13.555
10/11/2021,13.78,538,13.77,13.835,13.72
9/17/2021,13.78,316,13.695,13.785,13.695
3/26/2020,13.77,481,13.56,13.81,13.56
10/22/2021,13.75,554,13.815,13.825,13.72
5/3/2021,13.74,468,13.685,13.775,13.57
10/8/2021,13.735,642,13.835,13.84,13.72
4/23/2021,13.73,1268,13.71,13.805,13.62
9/20/2021,13.725,461,13.78,13.8,13.515
10/19/2021,13.72,546,13.85,13.875,13.71
9/30/2021,13.715,502,13.77,13.8,13.61
10/12/2021,13.705,533,13.735,13.775,13.675
4/30/2021,13.695,295,13.665,13.715,13.525
2/10/2020,13.695,1141,13.6,13.86,13.57
4/29/2021,13.69,469,13.505,13.76,13.45
9/16/2021,13.685,623,13.785,13.8,13.63
7/29/2021,13.68,872,13.68,13.85,13.66
7/30/2021,13.675,464,13.65,13.685,13.485
10/25/2021,13.67,966,13.735,13.86,13.665
4/22/2021,13.67,1431,13.18,13.71,13.68
1/29/2020,13.665,737,13.6,13.74,13.56
7/28/2021,13.66,371,13.48,13.685,13.48
2/18/2020,13.66,1369,13.485,13.69,13.485
6/23/2021,13.655,1288,13.36,13.995,13.36
5/13/2021,13.655,582,14.12,13.67,13.655
2/20/2020,13.655,1011,13.64,13.745,13.59
2/19/2020,13.645,663,13.625,13.7,13.55
9/14/2021,13.635,453,13.51,13.7,13.51
8/23/2021,13.635,463,13.5,13.655,13.44
3/25/2020,13.625,474,13.29,13.65,13.28
1/23/2020,13.625,762,13.425,13.705,13.375
10/1/2021,13.615,552,13.69,13.77,13.555
8/24/2021,13.615,560,13.63,13.68,13.58
7/23/2021,13.615,399,13.535,13.625,13.485
3/16/2020,13.615,852,13.345,13.665,13.27
2/7/2020,13.615,516,13.525,13.65,13.51
10/6/2021,13.61,409,13.58,13.65,13.52
1/31/2020,13.61,520,13.655,13.68,13.465
5/14/2021,13.605,382,13.665,13.735,13.55
2/11/2020,13.605,1136,13.75,13.75,13.535
2/28/2020,13.6,924,13.61,13.785,13.425
11/8/2021,13.595,200,13.55,13.725,13.495
8/25/2021,13.595,438,13.575,13.645,13.435
3/2/2020,13.595,439,13.585,13.695,13.58
2/21/2020,13.59,1236,13.66,13.675,13.525
2/4/2020,13.585,304,13.58,13.605,13.5
1/28/2020,13.585,570,13.47,13.605,13.405
1/24/2020,13.585,333,13.58,13.655,13.53
2/25/2020,13.58,1373,13.51,13.615,13.475
10/28/2021,13.57,894,13.555,13.645,13.555
6/29/2021,13.57,431,13.315,13.58,13.31
2/27/2020,13.57,1028,13.505,13.59,13.33
10/29/2021,13.565,593,13.575,13.595,13.535
2/3/2020,13.565,555,13.575,13.665,13.495
10/27/2021,13.56,859,13.54,13.67,13.54
1/30/2020,13.56,801,13.69,13.72,13.48
6/24/2021,13.555,611,13.64,13.65,13.435
11/5/2021,13.55,178,13.445,13.565,13.445
9/13/2021,13.55,379,13.48,13.6,13.46
8/26/2021,13.55,382,13.55,13.6,13.475
8/16/2021,13.55,781,13.55,13.61,13.47
2/24/2020,13.55,822,13.605,13.605,13.46
7/26/2021,13.545,380,13.495,13.6,13.455
10/26/2021,13.54,823,13.665,13.67,13.54
10/4/2021,13.54,518,13.615,13.67,13.53
7/22/2021,13.54,607,13.29,13.58,13.29
4/26/2021,13.54,934,13.73,13.84,13.52
2/5/2020,13.54,909,13.45,13.575,13.43
8/13/2021,13.53,525,13.535,13.63,13.515
3/3/2020,13.53,217,13.57,13.68,13.5
10/5/2021,13.525,390,13.535,13.55,13.52
8/12/2021,13.525,365,13.405,13.58,13.345
2/26/2020,13.525,885,13.585,13.635,13.5
2/6/2020,13.525,637,13.54,13.55,13.485
1/17/2020,13.515,869,13.33,13.635,13.305
8/20/2021,13.51,559,13.41,13.52,13.41
6/25/2021,13.51,418,13.57,13.57,13.36
8/2/2021,13.495,322,13.66,13.685,13.47
8/10/2021,13.485,472,13.4,13.51,13.36
9/10/2021,13.48,386,13.315,13.485,13.285
7/27/2021,13.48,283,13.555,13.6,13.455
11/1/2021,13.475,798,13.6,13.685,13.465
6/30/2021,13.475,539,13.57,13.8,13.38
4/28/2021,13.475,460,13.46,13.53,13.405
3/4/2020,13.475,293,13.495,13.52,13.45
1/27/2020,13.47,407,13.485,13.55,13.35
7/1/2021,13.465,264,13.485,13.545,13.4
6/28/2021,13.46,448,13.49,13.57,13.42
6/22/2021,13.46,746,13.02,13.475,12.96
3/3/2021,13.46,412,13.415,13.485,13.405
1/29/2021,13.46,386,13.41,13.49,13.375
8/27/2021,13.455,530,13.53,13.6,13.395
5/17/2021,13.455,350,13.6,13.645,13.45
1/27/2021,13.455,506,13.285,13.48,13.275
11/4/2021,13.445,477,13.275,13.575,13.275
8/17/2021,13.445,852,13.545,13.55,13.45
8/30/2021,13.44,1004,13.415,13.505,13.29
4/27/2021,13.435,680,13.54,13.54,13.38
1/22/2020,13.435,315,13.395,13.475,13.35
8/11/2021,13.43,208,13.405,13.55,13.405
1/21/2020,13.415,439,13.485,13.585,13.38
8/3/2021,13.4,346,13.5,13.5,13.3
3/24/2021,13.395,386,13.19,13.45,13.19
8/9/2021,13.39,282,13.36,13.41,13.315
1/28/2021,13.39,405,13.465,13.5,13.35
2/12/2020,13.39,1294,13.555,13.6,13.385
8/31/2021,13.385,348,13.445,13.445,13.295
5/19/2021,13.365,737,13.34,13.47,13.26
2/2/2021,13.36,261,13.345,13.38,13.31
1/15/2020,13.36,453,13.35,13.41,13.26
3/4/2021,13.355,251,13.47,13.405,13.315
1/14/2020,13.355,422,13.2,13.385,13.18
5/18/2021,13.35,527,13.455,13.49,13.34
3/2/2021,13.35,438,13.105,13.36,13.045
2/1/2021,13.34,569,13.46,13.485,13.33
9/7/2021,13.335,231,13.28,13.4,13.255
1/16/2020,13.335,375,13.365,13.42,13.265
2/14/2020,13.33,785,13.295,13.42,13.24
1/10/2020,13.33,904,13.27,13.4,13.055
9/8/2021,13.32,233,13.35,13.355,13.265
8/6/2021,13.32,310,13.33,13.375,13.21
3/13/2020,13.32,1008,13.15,13.42,13.06
9/9/2021,13.31,256,13.335,13.465,13.305
9/3/2021,13.31,354,13.29,13.435,13.255
7/21/2021,13.31,188,13.16,13.34,13.155
6/4/2021,13.31,212,13.265,13.32,13.265
6/2/2021,13.31,280,13.265,13.315,13.25
1/26/2021,13.305,237,13.125,13.325,13.12
2/13/2020,13.305,1717,13.4,13.4,13.08
9/2/2021,13.3,404,13.24,13.385,13.22
5/28/2021,13.3,351,13.235,13.37,13.2
6/3/2021,13.295,239,13.295,13.32,13.26
8/18/2021,13.285,1136,13.5,13.58,13.28
8/5/2021,13.285,329,13.17,13.37,13.16
6/1/2021,13.285,443,13.34,13.44,13.2
3/20/2020,13.285,1029,14.005,14.015,13.23
11/2/2021,13.28,1458,13.475,13.525,13.005
5/20/2021,13.28,298,13.34,13.545,13.265
3/24/2020,13.28,363,13.23,13.395,13.21
11/3/2021,13.275,621,13.285,13.31,13.245
1/22/2021,13.275,241,13.215,13.3,13.18
1/9/2020,13.275,1520,13.02,13.495,13.015
6/7/2021,13.27,361,13.325,13.285,13.235
3/29/2021,13.265,190,13.085,13.3,13.07
3/8/2021,13.25,265,13.18,13.34,13.16
1/21/2021,13.245,162,13.2,13.25,13.165
9/1/2021,13.24,392,13.38,13.38,13.2
5/27/2021,13.235,290,13.195,13.26,13.21
1/25/2021,13.235,322,13.27,13.27,13.05
3/23/2020,13.235,649,13.385,13.49,13.155
7/16/2021,13.23,198,13.25,13.345,13.21
3/5/2021,13.225,184,13.36,13.4,13.155
1/13/2020,13.225,588,13.305,13.355,13.155
3/30/2021,13.22,226,13.27,13.3,13.17
1/3/2020,13.22,625,13.08,13.22,13.06
7/15/2021,13.215,178,13.14,13.23,13.06
3/22/2021,13.215,188,13.16,13.23,13.13
3/17/2021,13.215,244,13.045,13.215,13
3/23/2021,13.21,145,13.23,13.26,13.12
1/20/2021,13.21,345,13.19,13.28,13.085
5/25/2021,13.2,328,13.19,13.25,13.165
2/22/2021,13.2,1462,13.06,13.23,13.06
8/19/2021,13.195,559,13.26,13.285,13.18
8/4/2021,13.195,568,13.355,13.4,13.15
1/19/2021,13.195,352,13.09,13.265,13.08
7/20/2021,13.19,164,13.05,13.19,13.02
5/26/2021,13.19,148,13.24,13.245,13.165
3/9/2021,13.19,93,13.18,13.21,13.165
5/21/2021,13.185,504,13.265,13.275,13.17
3/31/2021,13.18,319,13.2,13.27,13.16
4/7/2021,13.17,231,13.13,13.17,13.1
