Date,Close/Last,Volume,Open,High,Low
12/08/2021,143.08,N/A,141.66,148.43,141.9
12/07/2021,140.89,N/A,137.03,142.92,136.82
12/06/2021,136.95,N/A,130.89,139.91,135.71
12/05/2021,130.96,N/A,139.42,134.82,126.09
12/04/2021,139.93,N/A,176.16,167.48,111.17
12/03/2021,153.26,N/A,177.62,167.48,153.26
12/02/2021,177.57,N/A,174.75,178.54,174.29
12/01/2021,174.65,N/A,180.23,178.32,172.32
11/30/2021,180,N/A,180.74,182.2,178.84
11/29/2021,180.43,N/A,178.68,182.53,177.9
11/28/2021,179.16,N/A,174.84,180.88,177.38
11/27/2021,174.71,N/A,184.62,182.86,173.61
11/26/2021,184.86,N/A,204.96,186.4,182.26
11/25/2021,204.77,N/A,206.8,213.94,203.67
11/24/2021,206.67,N/A,194.28,211.15,201.17
11/23/2021,193.38,N/A,197.88,200.83,184.4
11/22/2021,198.33,N/A,190.41,200.43,195.88
11/21/2021,191.82,N/A,188.58,208.79,191.43
11/20/2021,188.42,N/A,194.36,193.64,187.28
11/19/2021,193.61,N/A,183.5,195.99,188.25
11/18/2021,183.01,N/A,183.97,183.53,173.97
11/17/2021,185.1,N/A,189.93,190.7,184.59
11/16/2021,188.11,N/A,208.76,200.42,186.87
11/15/2021,209.05,N/A,231.69,224.4,204.36
11/14/2021,231.46,N/A,227.25,234.18,228.74
11/13/2021,227.47,N/A,220.55,231.73,226.45
11/12/2021,220.81,N/A,230.55,223.52,219.58
11/11/2021,231.36,N/A,218.36,235.74,228.29
11/10/2021,217.84,N/A,229.62,218.7,213.36
11/09/2021,229,N/A,220.68,237.36,226.55
11/08/2021,220.39,N/A,197.87,223.23,211.11
11/07/2021,197.96,N/A,191.03,198.08,193.37
11/06/2021,191.12,N/A,196.38,192.22,189.68
11/05/2021,196.39,N/A,197.74,197.6,192.71
11/04/2021,197.73,N/A,200.37,199.81,195.99
11/03/2021,200.11,N/A,201.69,202.58,198.88
11/02/2021,201.7,N/A,190.8,203.66,198.1
11/01/2021,190.49,N/A,185.2,190.53,187.55
10/31/2021,185.69,N/A,187.13,194.14,185.53
10/30/2021,187.41,N/A,186.92,191.74,183.36
10/29/2021,186.91,N/A,186.08,189.38,185.58
10/28/2021,185.33,N/A,177.14,187.22,181.86
10/27/2021,176.07,N/A,198.77,177.78,173.31
10/26/2021,200.07,N/A,205.29,201.33,197.53
10/25/2021,204.55,N/A,205.31,208.62,204.54
10/24/2021,205.07,N/A,203.72,206.11,201.39
10/23/2021,206.78,N/A,195.9,208.16,196.89
10/22/2021,196.13,N/A,199.81,196.55,193.2
10/21/2021,201.65,N/A,201.92,202.23,196.41
10/20/2021,201.71,N/A,190.54,205.49,199.41
10/19/2021,190.81,N/A,190.93,194.29,190.79
10/18/2021,190.46,N/A,188.49,191.29,186.17
10/17/2021,187.57,N/A,191.63,189.34,185.65
10/16/2021,191.56,N/A,192.86,192.64,187.45
10/15/2021,193.36,N/A,188.02,198.32,193.05
10/14/2021,188.56,N/A,185.3,189.64,182.45
10/13/2021,184.99,N/A,180.95,185.82,182.44
10/12/2021,180.69,N/A,175.89,182.79,179.6
10/11/2021,176.31,N/A,186.36,182.94,174.87
10/10/2021,186.13,N/A,189.9,186.23,179.51
10/09/2021,189.38,N/A,190.26,193.72,187.18
10/08/2021,190.23,N/A,190.35,190.67,186.63
10/07/2021,189.27,N/A,180.46,197.93,188.21
10/06/2021,181.13,N/A,181.12,185.56,179.93
10/05/2021,181.07,N/A,174.37,185.32,180.66
10/04/2021,174.01,N/A,171.2,176.2,172.54
10/03/2021,171.15,N/A,176.46,178.09,170.89
10/02/2021,175.38,N/A,172.6,179.19,173.71
10/01/2021,173.18,N/A,164.55,177.43,173.05
09/30/2021,163.89,N/A,159.36,166.85,163.39
09/29/2021,158.92,N/A,153.25,159.42,151.94
09/28/2021,153.07,N/A,156.76,154.15,146.53
09/27/2021,162.66,N/A,158.57,167.32,160.23
09/26/2021,164.16,N/A,159.76,167.32,160.23
09/25/2021,159.69,N/A,166.49,165.03,157.36
09/24/2021,166.88,N/A,180.14,168.45,162.69
09/23/2021,181.16,N/A,176.52,185,179.18
09/22/2021,175.97,N/A,162.08,177.72,172.96
09/21/2021,162.82,N/A,170.38,163.8,154.22
09/20/2021,170.89,N/A,180.76,172.53,159.76
09/19/2021,181.06,N/A,196.95,193.34,177.88
09/18/2021,197.66,N/A,202.46,199.97,195.73
09/17/2021,200.27,N/A,209.29,200.36,195.26
09/16/2021,206.19,N/A,215.92,209.38,205
09/15/2021,213.29,N/A,204.49,219.27,206.69
09/14/2021,204.64,N/A,201.16,207.79,203.73
09/13/2021,200.43,N/A,190.83,201.53,194.87
09/12/2021,193.18,N/A,194.64,205.09,192.76
09/11/2021,194.01,N/A,195.57,195.14,189.21
09/10/2021,194.45,N/A,210.41,199.02,192.4
09/09/2021,210.08,N/A,201.2,212.96,201.7
09/08/2021,200.74,N/A,203.07,204.39,196.92
09/07/2021,204.36,N/A,252.31,211.86,202.64
09/06/2021,252.41,N/A,258.61,256.4,251.52
09/05/2021,253.62,N/A,253.1,254.96,248.29
09/04/2021,249.12,N/A,256.13,254.96,248.88
09/03/2021,253.88,N/A,240.54,254.47,246.04
09/02/2021,240.13,N/A,237.43,240.52,233.08
09/01/2021,237.51,N/A,220.75,241.56,237.08
08/31/2021,220.46,N/A,217.09,224.57,216.15
08/30/2021,216.9,N/A,221.85,217.81,212.66
08/29/2021,222.48,N/A,237.71,227.28,221.2
08/28/2021,238.31,N/A,237.92,247.09,236.03
08/27/2021,238.15,N/A,226.32,243.03,237.23
08/26/2021,240.22,N/A,240.21,264.67,239
08/25/2021,254.48,N/A,248.94,264.67,253.88
08/24/2021,249.46,N/A,270.11,255.46,248.18
