Date,Close/Last,Volume,Open,High,Low
11/21/2021,1.03914,N/A,1.07581,1.0587,1.0299
11/20/2021,1.07585,N/A,1.08739,1.09715,1.07371
11/19/2021,1.08672,N/A,1.04256,1.09946,1.08377
11/18/2021,1.03963,N/A,1.11372,1.05589,1.01839
11/17/2021,1.13403,N/A,1.07536,1.15799,1.09111
11/16/2021,1.06612,N/A,1.12899,1.09717,1.05976
11/15/2021,1.1297,N/A,1.21363,1.17222,1.10706
11/14/2021,1.21898,N/A,1.18739,1.21934,1.1881
11/13/2021,1.1874,N/A,1.1746,1.1992,1.18536
11/12/2021,1.17718,N/A,1.21487,1.19751,1.17306
11/11/2021,1.21766,N/A,1.20597,1.23284,1.19831
11/10/2021,1.20279,N/A,1.23804,1.20475,1.17713
11/9/2021,1.23754,N/A,1.27045,1.26394,1.22155
11/8/2021,1.26538,N/A,1.27495,1.28767,1.25731
11/7/2021,1.28079,N/A,1.15399,1.28237,1.21795
11/6/2021,1.15219,N/A,1.16615,1.16002,1.14525
11/5/2021,1.1652,N/A,1.19657,1.17332,1.15315
11/4/2021,1.19307,N/A,1.2256,1.20139,1.17133
11/3/2021,1.22586,N/A,1.14695,1.25508,1.19643
11/2/2021,1.14132,N/A,1.09804,1.15021,1.12586
11/1/2021,1.09675,N/A,1.07828,1.09944,1.08558
10/31/2021,1.07849,N/A,1.10655,1.131,1.07822
10/30/2021,1.10814,N/A,1.07815,1.11714,1.08369
10/29/2021,1.07959,N/A,1.08193,1.08421,1.07231
10/28/2021,1.07333,N/A,1.00388,1.0861,1.05521
10/27/2021,1.00537,N/A,1.11379,1.01009,0.9822
10/26/2021,1.11126,N/A,1.11675,1.12462,1.10065
10/25/2021,1.11375,N/A,1.09262,1.12403,1.09314
10/24/2021,1.09175,N/A,1.09047,1.09923,1.07836
10/23/2021,1.09296,N/A,1.09031,1.09548,1.08715
10/22/2021,1.09221,N/A,1.1017,1.0942,1.08186
10/21/2021,1.10757,N/A,1.14505,1.10913,1.08836
10/20/2021,1.14321,N/A,1.0998,1.16343,1.12854
10/19/2021,1.1051,N/A,1.09696,1.1078,1.08703
10/18/2021,1.09658,N/A,1.09569,1.09965,1.07762
10/17/2021,1.09249,N/A,1.13489,1.10583,1.08934
10/16/2021,1.13518,N/A,1.13747,1.13731,1.1202
10/15/2021,1.13805,N/A,1.13513,1.14914,1.13154
10/14/2021,1.13653,N/A,1.13001,1.13855,1.10549
10/13/2021,1.12942,N/A,1.11948,1.13774,1.12181
10/12/2021,1.1187,N/A,1.0922,1.12541,1.09202
10/11/2021,1.0939,N/A,1.16636,1.1363,1.0815
10/10/2021,1.16432,N/A,1.1662,1.16584,1.12901
10/9/2021,1.16263,N/A,1.06992,1.17307,1.13501
10/8/2021,1.06914,N/A,1.06535,1.07064,1.05756
10/7/2021,1.06408,N/A,1.05811,1.07911,1.05992
10/6/2021,1.06032,N/A,1.06675,1.0874,1.04492
10/5/2021,1.06782,N/A,1.04611,1.08459,1.06398
10/4/2021,1.04147,N/A,1.02662,1.05584,1.03819
10/3/2021,1.02845,N/A,1.04226,1.05956,1.02714
10/2/2021,1.03727,N/A,1.01455,1.04861,1.0211
10/1/2021,1.01617,N/A,0.94968,1.04309,1.01585
9/30/2021,0.94799,N/A,0.95861,0.9599,0.94442
9/29/2021,0.95532,N/A,0.91487,0.95841,0.92219
