Date,Close/Last,Volume,Open,High,Low
12/08/2021,204.314,N/A,210.256,210.554,202.996
12/07/2021,209.874,N/A,201.935,212.632,206.119
12/06/2021,201.725,N/A,199.571,203.309,199.524
12/05/2021,199.836,N/A,205.598,201.358,191.634
12/04/2021,199.286,N/A,233.709,225.412,178.26
12/03/2021,215.983,N/A,239.316,225.412,215.983
12/02/2021,240.494,N/A,227.245,241.941,236.463
12/01/2021,228.777,N/A,241.983,232.679,225.583
11/30/2021,240.576,N/A,232.572,242.688,237.2
11/29/2021,232.281,N/A,237.497,237.058,230.912
11/28/2021,237.025,N/A,221.163,240.055,236.739
11/27/2021,220.602,N/A,228.932,228.392,219.923
11/26/2021,229.412,N/A,241.931,231.364,226.139
11/25/2021,242.026,N/A,246.779,249.412,241.402
11/24/2021,246.278,N/A,241.673,248.585,243.093
11/23/2021,241.526,N/A,232.227,242.007,235.239
11/22/2021,232.398,N/A,239.078,232.733,228.163
11/21/2021,239.428,N/A,243.963,251.046,239.153
11/20/2021,244.449,N/A,247.918,247.963,242.254
11/19/2021,247.332,N/A,229.339,250.544,238.307
11/18/2021,228.899,N/A,236.89,230.93,224.385
11/17/2021,238.159,N/A,234.13,244.158,237.342
11/16/2021,232.014,N/A,250.56,242.807,230.945
11/15/2021,250.466,N/A,272.848,268.061,245.759
11/14/2021,273.065,N/A,277.439,276.759,272.614
11/13/2021,276.823,N/A,260.098,278.046,270.525
11/12/2021,260.255,N/A,264.355,261.898,258.41
11/11/2021,264.734,N/A,262.084,266.989,261.675
11/10/2021,262.693,N/A,286.956,267.413,261.137
11/09/2021,286.018,N/A,275.541,292.829,283.809
11/08/2021,275.518,N/A,268.158,276.349,271.985
11/07/2021,268.128,N/A,260.976,269.994,266.5
11/06/2021,261.4,N/A,259.308,262.376,259.08
11/05/2021,258.76,N/A,262.853,259.181,253.955
11/04/2021,262.436,N/A,265.56,262.488,259.385
11/03/2021,264.995,N/A,272.636,266.995,264.388
11/02/2021,272.591,N/A,268.977,275.241,272.031
11/01/2021,268.918,N/A,272.158,271.335,267.974
10/31/2021,272.848,N/A,268.446,278.26,269.642
10/30/2021,268.392,N/A,265.59,269.041,262.663
10/29/2021,265.506,N/A,269.64,269.75,265.506
10/28/2021,269.214,N/A,259.259,271.23,266.26
10/27/2021,259.064,N/A,278.421,261.446,253.212
10/26/2021,279.753,N/A,288.586,283.4,278.034
10/25/2021,288.863,N/A,286.821,290.393,285.283
10/24/2021,286.94,N/A,271.824,291.408,284.063
10/23/2021,270.863,N/A,267.928,271.194,266.676
10/22/2021,268.138,N/A,275.173,268.192,264.49
10/21/2021,273.998,N/A,261.956,274.686,270.025
10/20/2021,261.845,N/A,253.945,266.036,259.356
10/19/2021,254.513,N/A,259.739,256.106,253.301
10/18/2021,258.957,N/A,262.91,260.406,254.113
10/17/2021,262.204,N/A,265.186,263.902,260.297
10/16/2021,265.476,N/A,268.004,268.361,264.82
10/15/2021,268.345,N/A,268.974,274.605,268.282
10/14/2021,269.525,N/A,272.099,269.645,261.092
10/13/2021,272.825,N/A,282.918,274.712,272.345
10/12/2021,281.988,N/A,269.777,282.501,275.825
10/11/2021,270.952,N/A,273.729,279.075,270.006
10/10/2021,272.901,N/A,274.944,275.31,266.623
10/09/2021,274.944,N/A,276.275,279.522,272.599
10/08/2021,278.553,N/A,280.754,278.666,275.201
10/07/2021,280.456,N/A,287.15,280.815,276.276
10/06/2021,287.734,N/A,269.981,291.422,283.369
10/05/2021,270.479,N/A,263.16,271.752,266.929
10/04/2021,262.537,N/A,256.206,269.225,262.006
10/03/2021,256.8,N/A,255.401,259.18,254.173
10/02/2021,254.507,N/A,252.798,255.495,250.4
10/01/2021,252.939,N/A,244.24,258.266,252.824
09/30/2021,243.43,N/A,243.242,252.427,243.367
09/29/2021,242.476,N/A,237.025,242.626,232.948
09/28/2021,237.015,N/A,241.494,237.044,229.281
09/27/2021,244.001,N/A,234.759,245.832,233.782
09/26/2021,241.589,N/A,235.433,244.108,233.782
09/25/2021,235.562,N/A,238.792,236.535,229.57
09/24/2021,238.131,N/A,246.773,238.669,230.35
09/23/2021,247.196,N/A,248.965,249.291,244.268
09/22/2021,248.465,N/A,225.867,250.396,243.982
09/21/2021,225.981,N/A,229.561,226.861,214.628
09/20/2021,230.255,N/A,253.519,232.588,218.092
09/19/2021,254.162,N/A,267.692,261.252,250.558
09/18/2021,268.999,N/A,265.769,272.056,267.602
09/17/2021,263.548,N/A,265.701,264.064,260.017
09/16/2021,265.288,N/A,267.016,267.581,261.912
09/15/2021,266.735,N/A,266.687,270.983,264.862
09/14/2021,266.392,N/A,264.188,269.964,265.474
09/13/2021,265.316,N/A,248.141,274.736,259.577
09/12/2021,250.754,N/A,250.771,258.095,247.865
09/11/2021,250.32,N/A,249.417,251.098,246.276
09/10/2021,248.444,N/A,265.495,252.119,247.374
09/09/2021,264.87,N/A,260.075,268.122,260.345
09/08/2021,260.076,N/A,266.681,261.373,254.409
09/07/2021,265.651,N/A,308.724,270.838,257.696
09/06/2021,309.468,N/A,313.222,316.172,309.424
09/05/2021,304.26,N/A,306.781,305.861,299.898
09/04/2021,302.02,N/A,309.077,305.861,301.758
09/03/2021,309.269,N/A,303.328,309.54,302.602
09/02/2021,302.961,N/A,306.565,303.835,296.849
09/01/2021,306.353,N/A,284.026,307.976,300.589
08/31/2021,283.65,N/A,284.825,287.07,280.254
08/30/2021,284.987,N/A,288.667,285.276,279.347
08/29/2021,288.477,N/A,294.033,293.168,287.348
08/28/2021,294.996,N/A,308.065,306.531,293.235
08/27/2021,309.005,N/A,296.915,316.638,308.714
08/26/2021,295.686,N/A,300.918,317.581,293.883
08/25/2021,305.337,N/A,318.238,317.581,304.411
08/24/2021,316.459,N/A,317.243,322.6,307.645
08/23/2021,316.959,N/A,315.253,321.069,311.623
08/22/2021,313.55,N/A,287.541,315.976,302.268
