Date,Close/Last,Volume,Open,High,Low
11/26/2021,5.6098,N/A,5.5664,5.6561,5.5669
11/25/2021,5.5669,N/A,5.6061,5.6066,5.5486
11/24/2021,5.6066,N/A,5.6066,5.6066,5.6066
11/23/2021,5.5717,N/A,5.5865,5.6623,5.5672
11/22/2021,5.587,N/A,5.6135,5.6141,5.5633
11/19/2021,5.6137,N/A,5.5576,5.614,5.5215
11/18/2021,5.5581,N/A,5.5292,5.5768,5.5248
11/17/2021,5.5297,N/A,5.5028,5.5353,5.4658
11/16/2021,5.5033,N/A,5.5033,5.5033,5.5033
11/15/2021,5.4577,N/A,5.4588,5.4577,5.457
11/14/2021,5.457,N/A,5.457,5.457,5.457
11/12/2021,5.4572,N/A,5.3989,5.4686,5.394
11/11/2021,5.3994,N/A,5.491,5.4945,5.3889
11/10/2021,5.4915,N/A,5.4804,5.5094,5.4363
11/09/2021,5.4809,N/A,5.4809,5.4809,5.4809
11/08/2021,5.5445,N/A,5.5445,5.5445,5.5445
11/05/2021,5.5429,N/A,5.602,5.6066,5.5012
11/04/2021,5.6029,N/A,5.5525,5.6273,5.5535
11/03/2021,5.5537,N/A,5.6795,5.6982,5.5459
11/02/2021,5.68,N/A,5.68,5.68,5.68
11/01/2021,5.6814,N/A,5.6815,5.6851,5.6814
10/29/2021,5.6364,N/A,5.6464,5.6635,5.5985
10/28/2021,5.6464,N/A,5.6464,5.6465,5.6464
10/27/2021,5.5374,N/A,5.538,5.5374,5.537
10/26/2021,5.5668,N/A,5.5666,5.5672,5.5668
10/25/2021,5.5567,N/A,5.5563,5.5567,5.5557
10/22/2021,5.6513,N/A,5.6577,5.7544,5.6218
10/21/2021,5.6592,N/A,5.6577,5.6628,5.6592
10/20/2021,5.5987,N/A,5.5975,5.5988,5.5979
10/19/2021,5.5851,N/A,5.5844,5.5851,5.5844
10/18/2021,5.5129,N/A,5.4614,5.5422,5.4576
10/15/2021,5.4598,N/A,5.5132,5.5139,5.4344
10/14/2021,5.5139,N/A,5.5132,5.5139,5.5135
10/13/2021,5.5137,N/A,5.5133,5.5732,5.4999
10/12/2021,5.533,N/A,5.533,5.533,5.533
10/11/2021,5.5371,N/A,5.5082,5.5386,5.5371
10/08/2021,5.5067,N/A,5.5188,5.5321,5.4781
