Date,Close/Last,Volume,Open,High,Low
11/28/2021,0.9256,N/A,0.9239,0.9264,0.9229
11/26/2021,0.924,N/A,0.9359,0.9366,0.9217
11/25/2021,0.9329,N/A,0.9359,0.9366,0.9327
11/24/2021,0.9337,N/A,0.9345,0.9352,0.9336
11/23/2021,0.9335,N/A,0.9329,0.9345,0.9322
11/22/2021,0.9329,N/A,0.933,0.9336,0.9311
11/21/2021,0.9291,N/A,0.9281,0.9302,0.9281
11/19/2021,0.9286,N/A,0.926,0.9292,0.925
11/18/2021,0.9265,N/A,0.926,0.9274,0.9254
11/17/2021,0.9279,N/A,0.9282,0.9298,0.9269
11/16/2021,0.9318,N/A,0.9298,0.933,0.9298
11/15/2021,0.9242,N/A,0.925,0.9258,0.9237
11/14/2021,0.9193,N/A,0.9212,0.9214,0.9187
11/12/2021,0.9212,N/A,0.9207,0.9238,0.9202
11/11/2021,0.9224,N/A,0.9207,0.9231,0.9206
11/10/2021,0.9187,N/A,0.9175,0.9191,0.9175
11/09/2021,0.9122,N/A,0.9111,0.9124,0.9107
11/08/2021,0.9122,N/A,0.9135,0.9141,0.912
11/07/2021,0.9137,N/A,0.9121,0.9139,0.9119
11/05/2021,0.9122,N/A,0.9124,0.9175,0.9113
11/04/2021,0.9133,N/A,0.9124,0.9136,0.9121
11/03/2021,0.9124,N/A,0.9116,0.9126,0.9111
11/02/2021,0.9137,N/A,0.9144,0.9152,0.9135
11/01/2021,0.9099,N/A,0.909,0.911,0.9089
10/31/2021,0.9165,N/A,0.9156,0.917,0.9151
10/29/2021,0.9153,N/A,0.9117,0.9177,0.9103
10/28/2021,0.9118,N/A,0.9117,0.9121,0.9108
10/27/2021,0.9187,N/A,0.918,0.9191,0.9174
10/26/2021,0.9194,N/A,0.9201,0.9211,0.9191
10/25/2021,0.9206,N/A,0.9198,0.921,0.9192
10/24/2021,0.9153,N/A,0.9158,0.9172,0.9152
10/22/2021,0.9162,N/A,0.9182,0.9187,0.9151
