Date,Close/Last,Volume,Open,High,Low
11/28/2021,1.1278,N/A,1.1317,1.1316,1.1276
11/26/2021,1.1318,N/A,1.1206,1.133,1.1206
11/25/2021,1.1222,N/A,1.1206,1.1227,1.1206
11/24/2021,1.1214,N/A,1.1197,1.1219,1.1198
11/23/2021,1.1242,N/A,1.1246,1.1254,1.1233
11/22/2021,1.1233,N/A,1.1234,1.1244,1.1226
11/21/2021,1.1273,N/A,1.1288,1.1292,1.1265
11/19/2021,1.1282,N/A,1.1369,1.1373,1.125
11/18/2021,1.1356,N/A,1.1369,1.1373,1.1352
11/17/2021,1.1328,N/A,1.1319,1.1338,1.1315
11/16/2021,1.1299,N/A,1.1319,1.1327,1.1264
11/15/2021,1.138,N/A,1.1367,1.1386,1.1359
11/14/2021,1.1457,N/A,1.145,1.1464,1.1441
11/12/2021,1.1445,N/A,1.145,1.1462,1.1433
11/11/2021,1.1439,N/A,1.145,1.1455,1.1436
11/10/2021,1.1473,N/A,1.1478,1.1488,1.1465
11/09/2021,1.1583,N/A,1.1591,1.1596,1.1581
11/08/2021,1.1599,N/A,1.1586,1.1599,1.1577
11/07/2021,1.1557,N/A,1.1566,1.157,1.1553
11/05/2021,1.1568,N/A,1.1552,1.1617,1.1513
11/04/2021,1.1545,N/A,1.1552,1.1617,1.1529
11/03/2021,1.1593,N/A,1.161,1.1617,1.1593
11/02/2021,1.1583,N/A,1.1577,1.1588,1.1575
11/01/2021,1.1601,N/A,1.1606,1.1608,1.1595
10/31/2021,1.1551,N/A,1.1561,1.1565,1.1551
10/29/2021,1.1561,N/A,1.1679,1.169,1.1535
10/28/2021,1.1677,N/A,1.1679,1.169,1.1673
10/27/2021,1.1604,N/A,1.1604,1.161,1.1589
10/26/2021,1.1601,N/A,1.1595,1.1604,1.159
10/25/2021,1.16,N/A,1.1606,1.1612,1.1597
10/24/2021,1.1665,N/A,1.1647,1.1665,1.1636
10/22/2021,1.1645,N/A,1.1621,1.1667,1.162
10/21/2021,1.1625,N/A,1.1621,1.1667,1.162
10/20/2021,1.1663,N/A,1.1649,1.1667,1.1647
10/19/2021,1.1644,N/A,1.1632,1.1648,1.1628
10/18/2021,1.1645,N/A,1.1609,1.1646,1.1609
10/17/2021,1.1584,N/A,1.1598,1.1605,1.1581
