Date,Close/Last,Volume,Open,High,Low
11/28/2021,1.3333,N/A,1.334,1.3344,1.3327
11/26/2021,1.3343,N/A,1.332,1.3369,1.3279
11/25/2021,1.3306,N/A,1.332,1.3325,1.3299
11/24/2021,1.3346,N/A,1.3325,1.3353,1.3324
11/23/2021,1.3373,N/A,1.3374,1.3384,1.3369
11/22/2021,1.339,N/A,1.3396,1.3406,1.3385
11/21/2021,1.3442,N/A,1.3452,1.346,1.3428
11/19/2021,1.3443,N/A,1.3488,1.351,1.3408
11/18/2021,1.3489,N/A,1.3488,1.3505,1.3482
11/17/2021,1.3493,N/A,1.348,1.3504,1.3482
11/16/2021,1.3421,N/A,1.3427,1.3437,1.3397
11/15/2021,1.3426,N/A,1.3418,1.3439,1.3405
11/14/2021,1.3429,N/A,1.3413,1.344,1.3411
11/12/2021,1.3413,N/A,1.3371,1.3427,1.3354
11/11/2021,1.3363,N/A,1.3371,1.3376,1.3354
11/10/2021,1.3405,N/A,1.3401,1.342,1.3393
11/09/2021,1.3556,N/A,1.3554,1.3565,1.3547
11/08/2021,1.3567,N/A,1.3561,1.3569,1.3548
11/07/2021,1.3476,N/A,1.3494,1.3496,1.3472
11/05/2021,1.3498,N/A,1.3498,1.351,1.3425
11/04/2021,1.3498,N/A,1.3498,1.3508,1.3484
11/03/2021,1.3662,N/A,1.3684,1.3699,1.366
11/02/2021,1.3632,N/A,1.3614,1.3633,1.3611
11/01/2021,1.3651,N/A,1.3672,1.368,1.3647
10/31/2021,1.3679,N/A,1.3691,1.3691,1.3667
10/29/2021,1.3691,N/A,1.3788,1.3803,1.3669
10/28/2021,1.3796,N/A,1.3788,1.3803,1.3787
10/27/2021,1.3745,N/A,1.3746,1.3749,1.3722
10/26/2021,1.3771,N/A,1.3766,1.3779,1.3763
10/25/2021,1.3766,N/A,1.3768,1.3772,1.3757
10/24/2021,1.3785,N/A,1.3751,1.3785,1.3748
10/22/2021,1.3759,N/A,1.3791,1.3815,1.3737
10/21/2021,1.3794,N/A,1.3791,1.381,1.3784
10/20/2021,1.3832,N/A,1.3824,1.3835,1.3813
10/19/2021,1.3808,N/A,1.3795,1.3815,1.3788
10/18/2021,1.3765,N/A,1.3725,1.3767,1.3722
10/17/2021,1.3731,N/A,1.375,1.3765,1.3728
10/15/2021,1.3748,N/A,1.3673,1.3773,1.3667
10/14/2021,1.3685,N/A,1.3673,1.3689,1.3667
10/13/2021,1.367,N/A,1.3659,1.3672,1.3655
10/12/2021,1.3615,N/A,1.3585,1.3619,1.3576
10/11/2021,1.3599,N/A,1.3595,1.3603,1.3581
10/10/2021,1.3636,N/A,1.3611,1.3656,1.361
10/08/2021,1.3611,N/A,1.3617,1.3655,1.3584
10/07/2021,1.3609,N/A,1.3617,1.3622,1.3606
10/06/2021,1.3582,N/A,1.358,1.3598,1.3578
10/05/2021,1.3612,N/A,1.3629,1.3636,1.3609
10/04/2021,1.3596,N/A,1.3613,1.3615,1.3585
10/03/2021,1.3535,N/A,1.3545,1.3578,1.3534
10/01/2021,1.3546,N/A,1.3472,1.3576,1.3434
09/30/2021,1.3456,N/A,1.3472,1.3481,1.3445
09/29/2021,1.3458,N/A,1.3422,1.3458,1.3424
09/28/2021,1.3546,N/A,1.3534,1.3549,1.353
09/27/2021,1.3681,N/A,1.3682,1.3684,1.3658
09/26/2021,1.3676,N/A,1.3682,1.368,1.3662
09/24/2021,1.3673,N/A,1.3716,1.3736,1.3658
09/23/2021,1.3727,N/A,1.3716,1.3736,1.3714
09/22/2021,1.3641,N/A,1.3625,1.3643,1.3613
09/21/2021,1.3649,N/A,1.3659,1.3678,1.3649
09/20/2021,1.3668,N/A,1.3657,1.3673,1.365
09/19/2021,1.3712,N/A,1.3742,1.3754,1.3701
09/17/2021,1.3744,N/A,1.3788,1.3813,1.3728
09/16/2021,1.3797,N/A,1.3788,1.38,1.3784
09/15/2021,1.3834,N/A,1.3837,1.3853,1.3829
09/14/2021,1.3806,N/A,1.3806,1.382,1.3793
09/13/2021,1.3844,N/A,1.3836,1.3851,1.3833
09/12/2021,1.3842,N/A,1.3839,1.3848,1.3827
09/10/2021,1.3832,N/A,1.3835,1.3889,1.3827
09/09/2021,1.385,N/A,1.3835,1.3852,1.3833
09/08/2021,1.3764,N/A,1.3768,1.3777,1.3759
09/07/2021,1.3779,N/A,1.3782,1.3791,1.3776
09/06/2021,1.3845,N/A,1.3834,1.3857,1.3831
09/03/2021,1.3858,N/A,1.3829,1.3892,1.3818
09/02/2021,1.3834,N/A,1.3829,1.3845,1.3833
09/01/2021,1.3774,N/A,1.3768,1.3783,1.3767
08/31/2021,1.374,N/A,1.3754,1.3759,1.3731
08/30/2021,1.3776,N/A,1.3758,1.3777,1.375
08/29/2021,1.377,N/A,1.3763,1.3776,1.3752
08/27/2021,1.376,N/A,1.3699,1.378,1.368
08/26/2021,1.375,N/A,1.3759,1.3769,1.3731
08/25/2021,1.375,N/A,1.3759,1.3769,1.375
08/24/2021,1.372,N/A,1.3727,1.3736,1.3714
08/23/2021,1.3718,N/A,1.3717,1.3728,1.3709
08/22/2021,1.3651,N/A,1.3621,1.3655,1.3613
08/20/2021,1.3624,N/A,1.3638,1.3649,1.3602
08/19/2021,1.363,N/A,1.3638,1.3649,1.3619
08/18/2021,1.372,N/A,1.3755,1.3758,1.3713
08/17/2021,1.3757,N/A,1.3739,1.3759,1.3727
08/16/2021,1.3817,N/A,1.385,1.3855,1.3815
08/15/2021,1.3853,N/A,1.3863,1.3873,1.3842
08/13/2021,1.3867,N/A,1.3804,1.3876,1.3792
