Date,Close/Last,Volume,Open,High,Low
11/28/2021,74.865,N/A,75.04,75.065,74.791
11/26/2021,75.065,N/A,74.475,75.085,74.502
11/25/2021,74.631,N/A,74.475,74.636,74.502
11/24/2021,74.522,N/A,74.605,74.625,74.493
11/23/2021,74.493,N/A,74.43,74.546,74.426
11/22/2021,74.543,N/A,74.428,74.558,74.415
11/21/2021,74.325,N/A,74.333,74.378,74.286
11/19/2021,74.35,N/A,74.16,74.385,74.165
11/18/2021,74.225,N/A,74.16,74.228,74.165
11/17/2021,74.203,N/A,74.238,74.316,74.144
11/16/2021,74.445,N/A,74.452,74.53,74.415
11/15/2021,74.468,N/A,74.375,74.535,74.361
11/14/2021,74.375,N/A,74.342,74.42,74.335
11/12/2021,74.347,N/A,74.296,74.543,74.301
11/11/2021,74.3955,N/A,74.3955,74.415,74.301
11/10/2021,74.525,N/A,74.398,74.543,74.394
11/09/2021,74.102,N/A,74.17,74.177,74.064
11/08/2021,73.938,N/A,73.904,73.975,73.863
11/07/2021,74.199,N/A,74.174,74.283,74.184
11/05/2021,74.191,N/A,74.543,74.57,74.171
11/04/2021,74.472,N/A,74.543,74.57,74.452
11/03/2021,74.515,N/A,74.447,74.54,74.37
11/02/2021,74.655,N/A,74.69,74.745,74.625
11/01/2021,74.87,N/A,74.832,74.91,74.821
10/31/2021,74.977,N/A,74.915,75.005,74.92
10/29/2021,74.935,N/A,74.783,75.034,74.74
10/28/2021,74.805,N/A,74.783,74.837,74.74
10/27/2021,74.965,N/A,75.064,75.135,74.955
10/26/2021,75.019,N/A,74.937,75.04,74.889
10/25/2021,75.023,N/A,75.017,75.092,74.995
10/24/2021,74.9,N/A,74.994,74.999,74.887
10/22/2021,74.999,N/A,74.869,75.004,74.672
10/21/2021,74.828,N/A,74.869,74.892,74.812
10/20/2021,74.825,N/A,74.79,74.868,74.79
10/19/2021,75.12,N/A,75.191,75.275,74.877
10/18/2021,75.018,N/A,75.191,75.275,75.007
10/17/2021,75.209,N/A,75.013,75.269,75.03
10/15/2021,75.03,N/A,74.975,75.07,74.885
10/14/2021,74.99,N/A,74.975,75.06,74.975
10/13/2021,75.293,N/A,75.287,75.32,75.235
10/12/2021,75.405,N/A,75.468,75.503,75.345
10/11/2021,75.451,N/A,75.383,75.495,75.402
10/10/2021,75.1,N/A,75.112,75.152,75.07
10/08/2021,75.131,N/A,74.805,75.183,74.825
10/07/2021,74.937,N/A,74.805,74.983,74.825
10/06/2021,74.808,N/A,74.758,74.853,74.752
10/05/2021,74.578,N/A,74.54,74.603,74.53
10/04/2021,74.58,N/A,74.568,74.613,74.525
10/03/2021,74.178,N/A,74.13,74.218,74.132
10/01/2021,74.155,N/A,74.164,74.369,74.088
09/30/2021,74.295,N/A,74.164,74.31,74.17
09/29/2021,74.254,N/A,74.276,74.354,74.206
09/28/2021,74.188,N/A,74.19,74.207,74.1
09/27/2021,73.671,N/A,73.813,73.821,73.61
09/26/2021,73.737,N/A,73.813,73.821,73.69
09/24/2021,73.821,N/A,73.8,73.876,73.618
09/23/2021,73.788,N/A,73.8,73.845,73.745
09/22/2021,73.843,N/A,73.8,73.907,73.825
09/21/2021,73.703,N/A,73.74,73.767,73.675
09/20/2021,73.588,N/A,73.646,73.663,73.585
09/19/2021,73.814,N/A,73.64,73.847,73.645
09/17/2021,73.645,N/A,73.57,73.659,73.413
09/16/2021,73.507,N/A,73.57,73.579,73.507
09/15/2021,73.53,N/A,73.44,73.545,73.445
09/14/2021,73.683,N/A,73.64,73.713,73.624
09/13/2021,73.632,N/A,73.56,73.66,73.526
09/12/2021,73.593,N/A,73.517,73.615,73.524
09/10/2021,73.524,N/A,73.52,73.577,73.382
09/09/2021,73.495,N/A,73.52,73.577,73.489
09/08/2021,73.755,N/A,73.769,73.796,73.715
09/07/2021,73.508,N/A,73.44,73.545,73.391
09/06/2021,73.081,N/A,73.073,73.11,73.067
09/03/2021,72.997,N/A,72.993,73.155,72.935
09/02/2021,73.07,N/A,72.993,73.115,73.006
09/01/2021,73.047,N/A,72.99,73.07,72.982
08/31/2021,73.004,N/A,72.947,73.059,72.951
08/30/2021,73.235,N/A,73.292,73.421,73.228
08/29/2021,73.507,N/A,73.47,74.155,73.451
08/27/2021,73.475,N/A,74.15,74.207,73.455
08/26/2021,74.215,N/A,74.11,74.275,74.1
08/25/2021,74.209,N/A,74.11,74.213,74.1
08/24/2021,74.179,N/A,74.133,74.202,74.136
08/23/2021,74.117,N/A,74.12,74.137,74.095
08/22/2021,74.246,N/A,74.347,74.352,74.239
08/20/2021,74.352,N/A,74.37,74.48,74.325
08/19/2021,74.4,N/A,74.37,74.465,74.38
08/18/2021,74.386,N/A,74.28,74.407,74.267
08/17/2021,74.32,N/A,74.37,74.375,74.311
08/16/2021,74.239,N/A,74.16,74.239,74.135
08/15/2021,74.279,N/A,74.239,74.279,74.219
08/13/2021,74.242,N/A,74.31,74.326,74.24
08/12/2021,74.279,N/A,74.31,74.315,74.262
08/11/2021,74.225,N/A,74.253,74.27,74.1
08/10/2021,74.435,N/A,74.43,74.45,74.393
08/09/2021,74.386,N/A,74.48,74.488,74.386
08/08/2021,74.222,N/A,74.24,74.264,74.213
08/06/2021,74.242,N/A,74.098,74.242,74.048
08/05/2021,74.109,N/A,74.098,74.132,74.082
08/04/2021,74.18,N/A,74.149,74.217,74.094
08/03/2021,74.192,N/A,74.249,74.255,74.169
08/02/2021,74.335,N/A,74.354,74.36,74.32
08/01/2021,74.416,N/A,74.337,74.418,74.343
07/30/2021,74.344,N/A,74.245,74.45,74.245
07/29/2021,74.311,N/A,74.245,74.323,74.245
07/28/2021,74.3,N/A,74.49,74.5,74.279
07/27/2021,74.474,N/A,74.498,74.546,74.445
07/26/2021,74.363,N/A,74.33,74.37,74.275
07/25/2021,74.504,N/A,74.425,74.53,74.427
07/23/2021,74.427,N/A,74.45,74.578,74.375
