Date,Close/Last,Volume,Open,High,Low
11/28/2021,21.801,N/A,21.91,21.9175,21.6872
11/26/2021,21.9175,N/A,21.5575,22.151,21.5625
11/25/2021,21.9293,N/A,21.5575,21.9942,21.5625
11/24/2021,21.431,N/A,21.409,21.4461,21.3995
11/23/2021,21.2582,N/A,21.1758,21.2908,21.1911
11/22/2021,21.0239,N/A,20.985,21.0415,20.994
11/21/2021,20.8186,N/A,20.824,20.867,20.816
11/19/2021,20.8415,N/A,20.765,20.889,20.667
11/18/2021,20.7646,N/A,20.765,20.7875,20.7572
11/17/2021,20.6726,N/A,20.64,20.6943,20.6241
11/16/2021,20.7735,N/A,20.7216,20.8027,20.735
11/15/2021,20.5922,N/A,20.603,20.618,20.573
11/14/2021,20.5037,N/A,20.51,20.531,20.4825
11/12/2021,20.52,N/A,20.6328,20.7223,20.4513
11/11/2021,20.6408,N/A,20.6328,20.6507,20.6225
11/10/2021,20.6525,N/A,20.621,20.6545,20.5914
11/09/2021,20.3346,N/A,20.301,20.3407,20.3095
11/08/2021,20.3267,N/A,20.32,20.3575,20.3253
11/07/2021,20.3637,N/A,20.317,20.382,20.341
11/05/2021,20.341,N/A,20.5382,20.642,20.3143
11/04/2021,20.5892,N/A,20.5382,20.5973,20.516
11/03/2021,20.5963,N/A,20.53,20.5966,20.529
11/02/2021,20.7903,N/A,20.777,20.801,20.776
11/01/2021,20.9017,N/A,20.831,20.9072,20.8365
10/31/2021,20.5793,N/A,20.545,20.5868,20.5427
10/29/2021,20.553,N/A,20.365,20.6294,20.3465
10/28/2021,20.4149,N/A,20.365,20.4156,20.3465
10/27/2021,20.3171,N/A,20.301,20.3375,20.3018
10/26/2021,20.1988,N/A,20.2,20.2255,20.181
10/25/2021,20.1833,N/A,20.153,20.1945,20.169
10/24/2021,20.163,N/A,20.165,20.197,20.1614
10/22/2021,20.182,N/A,20.293,20.337,20.1262
10/21/2021,20.2709,N/A,20.293,20.337,20.2442
10/20/2021,20.2062,N/A,20.1972,20.2286,20.187
10/19/2021,20.2218,N/A,20.227,20.2515,20.2201
10/18/2021,20.3747,N/A,20.4036,20.4355,20.3717
10/17/2021,20.3942,N/A,20.329,20.3946,20.322
10/15/2021,20.339,N/A,20.539,20.5979,20.3195
10/14/2021,20.5497,N/A,20.539,20.566,20.5431
10/13/2021,20.5719,N/A,20.5475,20.5811,20.5515
10/12/2021,20.7515,N/A,20.7752,20.8025,20.7444
10/11/2021,20.8625,N/A,20.855,20.8955,20.8605
10/10/2021,20.7377,N/A,20.689,20.7425,20.6992
10/08/2021,20.7115,N/A,20.643,20.7852,20.5357
10/07/2021,20.698,N/A,20.643,20.7017,20.6445
10/06/2021,20.5666,N/A,20.549,20.5795,20.5525
10/05/2021,20.6281,N/A,20.552,20.6406,20.5675
10/04/2021,20.548,N/A,20.479,20.5613,20.485
10/03/2021,20.4453,N/A,20.429,20.4657,20.4181
10/01/2021,20.455,N/A,20.63,20.7271,20.4116
09/30/2021,20.6835,N/A,20.63,20.6875,20.614
09/29/2021,20.4789,N/A,20.485,20.5229,20.4725
09/28/2021,20.315,N/A,20.3166,20.3585,20.2995
09/27/2021,20.0176,N/A,20.04,20.0718,20.0173
09/26/2021,20.0339,N/A,20.04,20.0718,20.0242
09/24/2021,20.0556,N/A,20.0431,20.1924,20.0485
09/23/2021,20.063,N/A,20.0431,20.0735,20.0485
09/22/2021,20.093,N/A,20.0831,20.1222,20.0751
09/21/2021,20.1048,N/A,20.128,20.1467,20.0795
09/20/2021,20.0962,N/A,20.1376,20.1485,20.0954
