Date,Close/Last,Volume,Open,High,Low
11/19/2021,35601.98,414653520,35879.09,35879.09,35555.37
11/18/2021,35870.95,435080049,35901.69,35952.63,35654.39
11/17/2021,35931.05,358310249,36159.7,36159.7,35909.48
11/16/2021,36142.22,311904341,36076.18,36316.61,36076.18
11/15/2021,36087.45,280655990,36128.83,36236.07,36031.78
11/12/2021,36100.31,293177797,35963.78,36147.63,35934.59
11/11/2021,35921.23,270315654,36038.78,36108.17,35915.27
11/10/2021,36079.94,283523181,36299.25,36346.61,36009.5
11/09/2021,36319.98,258023267,36404.53,36416.98,36173.07
11/08/2021,36432.22,288396073,36416.46,36565.73,36334.42
11/05/2021,36327.95,344602642,36268.75,36484.75,36190.2
11/04/2021,36124.23,309994153,36107.46,36168.03,35986.48
11/03/2021,36157.58,262540220,36059.09,36178.51,35891.73
11/02/2021,36052.63,304514482,35935.11,36088.81,35884.13
11/01/2021,35913.84,295482441,35833.65,36009.74,35797.97
10/29/2021,35819.56,407989659,35712.28,35852.53,35633.2
10/28/2021,35730.48,348425518,35545.41,35742.25,35545.41
10/27/2021,35490.69,358083242,35835.43,35835.43,35490.43
10/26/2021,35756.88,321910427,35791.05,35892.92,35734.73
10/25/2021,35741.15,270410173,35692.62,35787.04,35629.37
10/22/2021,35677.02,349082290,35607.72,35765.02,35533.95
10/21/2021,35603.08,302122046,35520.32,35612.36,35442.53
10/20/2021,35609.34,267325901,35475.16,35669.69,35465.71
10/19/2021,35457.31,281263666,35325.37,35462.68,35290.12
10/18/2021,35258.61,323088503,35221.02,35327.57,35035.94
10/15/2021,35294.76,327866355,35023.63,35320.97,35023.63
10/14/2021,34912.56,338537183,34443.22,34923.83,34443.22
10/13/2021,34377.81,319453748,34372.71,34449.83,34115.1
10/12/2021,34378.34,322026903,34507.15,34611.24,34318.94
10/11/2021,34496.06,256823777,34723.79,34951.35,34486.51
10/08/2021,34746.25,238081658,34757.57,34842.62,34661.95
10/07/2021,34754.94,277046776,34509.72,34975.19,34509.72
10/06/2021,34416.99,323370501,34198.96,34432.68,33854.69
10/05/2021,34314.67,312426834,34035.25,34490.95,34035.25
10/04/2021,34002.92,400191421,34312.96,34410.28,33821.58
