Date,Close/Last,Volume,Open,High,Low
11/19/2021,16973.96,--,17117.74,17117.74,16965.8
11/18/2021,17117.74,--,17192.66,17192.66,17049.06
11/17/2021,17192.66,--,17302.79,17302.79,17158.98
11/16/2021,17302.79,--,17285.55,17364.31,17285.55
11/15/2021,17285.55,--,17297.66,17336.84,17267.89
11/12/2021,17297.66,--,17220.41,17312.94,17220.41
11/11/2021,17220.41,--,17192.03,17246.86,17192.03
11/10/2021,17192.03,--,17286.91,17322.72,17145
11/09/2021,17286.91,--,17310.51,17323.12,17217.94
11/08/2021,17310.51,--,17242.36,17341.78,17242.36
11/05/2021,17242.36,--,17168.87,17306.21,17168.87
11/04/2021,17168.87,--,17209.75,17230.8,17110.48
11/03/2021,17209.75,--,17115.17,17220.6,17081.99
11/02/2021,17115.17,--,17131.08,17131.08,17078.81
11/01/2021,17131.08,--,17016.41,17138.38,17016.41
10/29/2021,17016.41,--,17077,17077,16977.49
10/28/2021,17077,--,16920.38,17077.52,16920.38
10/27/2021,16920.38,--,17145.15,17145.15,16920.38
10/26/2021,17145.15,--,17169.07,17228.3,17131.44
10/25/2021,17169.07,--,17122.24,17192.18,17096.16
10/22/2021,17122.24,--,17083.15,17157.39,17031.74
10/21/2021,17083.15,--,17099.21,17099.21,17005.44
10/20/2021,17099.21,--,16988.16,17111.21,16988.16
10/19/2021,16988.16,--,16862,16995.8,16862
10/18/2021,16862,--,16871.74,16891.5,16776.61
10/15/2021,16871.74,--,16744.29,16914.67,16744.29
10/14/2021,16744.29,--,16513.16,16750.39,16513.16
10/13/2021,16513.16,--,16441.75,16538.44,16359.35
10/12/2021,16441.75,--,16430.07,16515.53,16411.51
10/11/2021,16430.07,--,16517.23,16633.52,16429.13
10/08/2021,16517.23,--,16511.81,16585.11,16505.08
10/07/2021,16511.81,--,16338.46,16601.69,16338.46
10/06/2021,16338.46,--,16327.09,16342.22,16096.85
10/05/2021,16327.09,--,16198.56,16411.39,16198.56
10/04/2021,16198.56,--,16323.74,16368.49,16127.15
