Date,Close/Last,Volume,Open,High,Low
11/19/2021,2343.16,--,2362.44,2362.44,2341.57
11/18/2021,2363.59,--,2377.6,2385.99,2348.52
11/17/2021,2377.01,--,2404.21,2404.21,2369.11
11/16/2021,2405.02,--,2397.77,2408.34,2386.51
11/15/2021,2400.93,--,2412.04,2421.07,2392.89
11/12/2021,2411.78,--,2409.46,2417.2,2405.83
11/11/2021,2409.14,--,2390.5,2418.83,2390.5
11/10/2021,2389.58,--,2426.44,2428.97,2380.76
11/09/2021,2427.29,--,2442.22,2442.22,2414.43
11/08/2021,2442.74,--,2438.36,2458.86,2438.06
11/05/2021,2437.08,--,2403.13,2449.14,2403.13
11/04/2021,2402.43,--,2404.68,2423.83,2395.5
11/03/2021,2404.28,--,2361.82,2413.39,2355.18
11/02/2021,2361.86,--,2358.25,2363.55,2345.4
11/01/2021,2358.12,--,2298.08,2358.64,2298.08
10/29/2021,2297.19,--,2296.74,2302.35,2287.86
10/28/2021,2297.98,--,2253.9,2298.76,2253.9
10/27/2021,2252.49,--,2295.45,2295.45,2252.49
10/26/2021,2296.08,--,2313.35,2321.47,2296.07
10/25/2021,2312.64,--,2291.8,2314.84,2291.8
10/22/2021,2291.27,--,2295.67,2299.73,2277.04
10/21/2021,2296.18,--,2290.41,2304,2284.97
10/20/2021,2289.77,--,2276.02,2294.92,2271.84
10/19/2021,2275.91,--,2269.25,2284.67,2265.7
10/18/2021,2267.84,--,2265.06,2272.35,2255.41
10/15/2021,2265.65,--,2276.74,2306.27,2265.65
10/14/2021,2274.18,--,2243.95,2275.51,2243.95
10/13/2021,2241.97,--,2235.02,2241.97,2220.24
10/12/2021,2234.27,--,2221.55,2241.4,2221.55
10/11/2021,2220.64,--,2233,2251.65,2220.64
10/08/2021,2233.09,--,2250.32,2256.56,2233.09
10/07/2021,2250.09,--,2217.58,2265.22,2217.58
10/06/2021,2214.96,--,2226.05,2226.05,2188.69
10/05/2021,2228.36,--,2218.47,2245.03,2218.47
10/04/2021,2217.47,--,2240.85,2240.85,2210.61
10/01/2021,2241.63,--,2205.91,2252.04,2197.15
09/30/2021,2204.37,--,2226.74,2239.54,2204.37
09/29/2021,2225.31,--,2230.61,2239.75,2221.72
09/28/2021,2229.78,--,2279.51,2279.51,2227.58
09/27/2021,2281,--,2247.96,2293.35,2247.96
09/24/2021,2248.07,--,2257.95,2259.93,2239.17
09/23/2021,2259.04,--,2220.06,2265.81,2220.06
09/22/2021,2218.56,--,2188.1,2234.17,2188.1
09/21/2021,2186.18,--,2183.72,2201.71,2172.83
09/20/2021,2182.2,--,2233.1,2233.1,2155.34
09/17/2021,2236.87,--,2233.55,2240.73,2220.39
09/16/2021,2232.91,--,2234.31,2242.84,2217.35
09/15/2021,2234.45,--,2210.46,2236.96,2207.42
09/14/2021,2209.98,--,2241.78,2249.94,2204.14
09/13/2021,2240.78,--,2228.49,2244.72,2217.12
09/10/2021,2227.55,--,2250.63,2264.11,2227.54
09/09/2021,2249.13,--,2249.53,2273.18,2244.13
09/08/2021,2249.73,--,2275,2275,2241.43
09/07/2021,2275.61,--,2292.17,2300.59,2275.57
09/03/2021,2292.05,--,2303.75,2303.75,2286.7
09/02/2021,2304.02,--,2288.03,2309.97,2288.03
